Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 6 - Wednesday 9 December 2015,,,,,,,,,,,,,,,
GROUP F - Stadio Georgios Karaiskakis - Piraeus,,,,,,,,,,,,,,,
,Olympiacos FC,,,,,,0 - 3,,,,,,Arsenal FC,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Roberto,16,"94'01""",,,,,,,,,,,,
,Luka Milivojević,5,"94'01""",,,,,1,,3,1,,,,
,Manuel da Costa,6,"94'01""",,1,,,,,2,2,,,,
,Kostas Fortounis,7,"94'01""",,1,,,,,3,2,,1,,
,Pajtim Kasami,11,"71'07""",,1,,,1,,1,3,,,,
,Omar Elabdellaoui,14,"94'01""",,,,,1,,1,,,1,,
,Dimitris Siovas,23,"94'01""",,,,,1,,1,,,,,
,Arthur Masuaku,26,"94'01""",,1,,,1,,,2,,,,
,Felipe Pardo,90,"85'40""",,,,,,2,1,1,1,,,
,Sebá,92,"76'16""",,,,,1,,,2,,,,
,Ideye Brown,99,"94'01""",,,,,1,,,,,,,
,Stefanos Kapino,37,,,,,,,,,,,,,
,Alberto Botía,3,,,,,,,,,,,,,
,Alfred Finnbogason,9,"8'21""",,,,,,,,,,,,
,Alejandro Domínguez,10,"22'54""",,1,,,,,,1,,,,
,Leandro Salino,30,,,,,,,,,,,,,
,Hernâni,77,"17'45""",,,,,,,,,,,,
,Esteban Cambiasso,91,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'01""",,,,,,,,,,,,33,Petr Čech
,,"94'01""",,,,,,,1,,,,,4,Per Mertesacker
,,"94'01""",,,,,,,,2,,,,6,Laurent Koscielny
,,"94'01""",,1,,,,,,2,1,,,11,Mesut Ö zil
,,"91'31""",3,4,,,,,5,1,1,1,,12,Olivier Giroud
,,"71'57""",,,,,1,1,,1,,,,14,Theo Walcott
,,"94'01""",,,,,,,2,1,,1,,16,Aaron Ramsey
,,"94'01""",,,,,1,,1,,,,,18,Nacho Monreal
,,"94'01""",,,,1,,,4,,,,,20,Mathieu Flamini
,,"94'01""",,,,,,,1,,,,,24,Héctor Bellerín
,,"90'53""",,,,,,,1,3,2,,,28,Joel Campbell
,,,,,,,,,,,,,,13,David Ospina
,,,,,,,,,,,,,,2,Mathieu Debuchy
,,"22'04""",,,,,,,,,,,,3,Kieran Gibbs
,,,,,,,,,,,,,,5,Gabriel
,,"3'08""",,,,,,1,,,,,,15,Alex Oxlade-Chamberlain
,,"2'30""",,,,,,,,,,,,21,Calum Chambers
,,,,,,,,,,,,,,45,Alex Iwobi
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,22:36:04CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,09 Dec 2015
UEFA Media Information,,,,,,,,,,,,,,,
