Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 8 December 2015,,,,,,,,,,,,,,,
GROUP A - Parc des Princes - Paris,,,,,,,,,,,,,,,
,Paris Saint-Germain,,,,,,2 - 0,,,,FC Shakhtar Donetsk,,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Kevin Trapp,16,"94'19""",,,,,,,,,,,,
,Benjamin Stambouli,4,"94'19""",,,,,,,,,,,,
,Marquinhos,5,"94'19""",,,,,,1,,,,,,
,Lucas,7,"87'50""",1,2,,,,1,,3,,,,
,Zlatan Ibrahimović,10,"94'19""",1,1,,,3,,3,1,2,,,
,Blaise Matuidi,14,"69'03""",,2,,,,,1,,,,,
,Layvin Kurzawa,20,"94'19""",,,,,,,2,,1,,,
,Ezequiel Lavezzi,22,"69'18""",,1,,,1,,1,1,,1,,
,Gregory van der Wiel,23,"94'19""",,,,,1,,,,,,,
,Adrien Rabiot,25,"94'19""",,,,,1,,1,3,,,,
,David Luiz,32,"94'19""",,,,,1,,1,1,,,,
,Salvatore Sirigu,30,,,,,,,,,,,,,
,Presnel Kimpembe,3,,,,,,,,,,,,,
,Thiago Motta,8,,,,,,,,,,,,,
,Edinson Cavani,9,"25'01""",,,,,1,,1,,,,,
,Ángel Di María,11,"25'17""",,,,,,,,,1,,,
,Maxwell,17,,,,,,,,,,,,,
,Christopher Nkunku,33,"6'29""",,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'19""",,,,,,,,,,,,32,Anton Kanibolotskiy
,,"94'19""",,,,,1,,1,,,,,5,Olexandr Kucher
,,"94'19""",,,,,1,,3,1,,,,6,Taras Stepanenko
,,"94'19""",,,,,,,,3,,,,8,Fred
,,"74'31""",,,,,,,1,,,,,11,Marlos
,,"78'56""",,1,,,1,,1,,2,,,22,Eduardo
,,"69'42""",,,,,,,,,,,,28,Taison
,,"94'19""",,,,,1,1,,1,,,,29,Alex Teixeira
,,"94'19""",,1,,,,2,1,1,,1,,31,Ismaily
,,"94'19""",,,,,1,,1,2,,1,,33,Darijo Srna
,,"94'19""",,1,,,,1,1,1,,1,,44,Yaroslav Rakitskiy
,,,,,,,,,,,,,,30,Andriy Pyatov
,,"15'23""",,,,,,,,,1,,,9,Dentinho
,,"24'37""",,,,,,,,,,,,10,Bernard
,,,,,,,,,,,,,,17,Maksym Malyshev
,,,,,,,,,,,,,,19,Facundo Ferreyra
,,,,,,,,,,,,,,38,Serhiy Kryvtsov
,,"19'48""",,,,,,,,,,,,74,Viktor Kovalenko
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,01:15:57CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,09 Dec 2015
UEFA Media Information,,,,,,,,,,,,,,,
