Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 1st leg - Tuesday 17 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Parc des Princes - Paris,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint-Germain,,,,,,,,,,1 - 1,,,,,,,,Chelsea FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,,
From,,TP,30,2,5,9,10,14,17,22,23,24,32,27,PC,PA,PC,PA,PC,PA,PC,PA,%,,
Salvatore Sirigu,30,"92'11""",,3,5,1,-,-,3,1,-,-,-,-,2,3,9,9,2,2,13,14,93%,,
Thiago Silva,2,"92'11""",2,,12,3,3,14,17,-,-,13,8,-,9,10,48,48,15,15,72,73,99%,,
Marquinhos,5,"92'11""",3,12,,1,-,3,-,-,8,11,14,-,3,4,40,42,9,9,52,55,95%,,
Edinson Cavani,9,"92'11""",-,-,2,,1,5,5,-,1,3,2,-,0,1,11,11,8,8,19,20,95%,,
Zlatan Ibrahimović,10,"92'11""",-,-,-,1,,3,3,3,1,2,5,1,1,1,11,14,7,10,19,25,76%,,
Blaise Matuidi,14,"92'11""",-,5,3,6,6,,12,3,-,6,9,2,1,2,35,37,16,18,52,57,91%,,
Maxwell,17,"92'11""",1,9,4,6,1,12,,8,-,11,8,3,1,2,39,41,23,24,63,67,94%,,
Ezequiel Lavezzi,22,"80'45""",-,1,1,-,2,1,4,,1,5,1,-,1,1,8,11,7,8,16,20,80%,,
Gregory van der Wiel,23,"92'11""",-,-,4,4,1,-,-,3,,4,2,-,1,1,10,13,7,8,18,22,82%,,
Marco Verratti,24,"92'11""",1,7,7,2,6,9,10,4,7,,18,3,6,6,50,54,18,19,74,79,94%,,
David Luiz,32,"92'11""",2,14,15,-,4,8,11,6,4,15,,1,12,13,54,56,14,17,80,86,93%,,
Javier Pastore 27,,"11'27""",-,-,-,-,-,2,-,-,1,2,-,,0,0,3,4,2,2,5,6,83%,,
Total passes received:,,,9,51,53,24,24,57,65,28,23,72,67,10,37,44,318 340 128 140,,,,483,524,92%,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,7,10,19,21,22,24,26,28,8,18,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Thibaut Courtois,13,"92'11""",,2,1,-,-,-,2,-,3,1,1,-,-,-,3,6,6,6,1,1,10,13,77%
Branislav Ivanović,2,"92'11""",-,,6,5,2,1,7,-,5,-,-,-,-,-,0,2,20,22,6,6,26,30,87%
Cesc Fàbregas,4,"83'06""",2,5,,5,7,4,7,7,3,2,2,-,-,-,8,11,28,28,8,10,44,49,90%
Ramires,7,"92'11""",-,1,3,,4,2,8,4,7,8,-,-,-,-,2,2,30,31,5,6,37,39,95%
Eden Hazard,10,"92'11""",-,3,2,4,,3,5,5,1,-,5,-,1,1,4,4,17,19,9,12,30,35,86%
Diego Costa,19,"80'48""",-,1,5,2,4,,1,1,-,1,-,-,-,-,0,1,9,10,6,8,15,19,79%
Nemanja Matić,21,"92'11""",1,4,7,8,5,3,,8,13,10,15,2,-,1,6,8,56,58,15,16,77,82,94%
Willian,22,"78'35""",-,3,8,1,2,2,1,,3,-,3,-,-,-,2,2,11,13,10,10,23,25,92%
Gary Cahill,24,"92'11""",1,6,5,7,-,-,9,-,,9,4,-,-,1,3,6,30,31,9,9,42,46,91%
John Terry,26,"92'11""",1,-,2,5,1,-,18,-,7,,9,-,-,-,0,1,28,28,15,16,43,45,96%
César Azpilicueta,28,"92'11""",-,-,6,-,11,2,8,4,1,8,,-,-,-,1,4,29,29,10,12,40,45,89%
Oscar,8,"9'05""",-,-,-,-,-,-,-,-,-,1,1,,-,-,0,0,1,2,1,3,2,5,40%
Loïc Rémy 18,,"11'23""",-,-,-,-,1,-,-,-,-,-,-,-,,-,0,0,0,0,1,1,1,1,100%
Juan Cuadrado 23,,"13'37""",-,-,-,-,-,-,-,-,-,-,-,1,-,,0,0,0,0,1,1,1,1,100%
Total passes received:,,,5,25,45,37,37,17,67,29,43,40,40,3,1,3,29,47,265 277,,97,111,391,435,90%
,,,,,,,,,,,,,,,,,,,,,,,,00:17:20CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Feb 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
