Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Round of 16 1st leg - Tuesday 17 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Arena Lviv - Lviv,,,,,,,,,,,,,,,,,,,,,,,,,
FC Shakhtar Donetsk,,,,,,,,,,0 - 0,,,,,,FC Bayern München,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,5,8,9,13,17,20,28,29,33,44,7,11,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Andriy Pyatov,30,"94'03""",,8,2,6,1,-,-,2,-,1,5,-,-,-,7,16,18,18,0,1,25,35,71%
Olexandr Kucher,5,"94'03""",12,,6,1,1,1,-,-,-,12,10,-,-,-,5,10,32,32,6,6,43,48,90%
Fred,8,"94'03""",1,8,,2,2,3,3,4,4,12,6,2,-,-,3,4,32,32,12,13,47,49,96%
Luiz Adriano,9,"89'26""",-,-,1,,-,1,-,1,2,-,1,1,-,-,0,0,3,6,4,8,7,14,50%
Vyacheslav Shevchuk,13,"94'03""",1,-,1,-,,1,-,2,2,-,5,-,1,-,0,1,11,14,2,3,13,18,72%
Fernando,17,"94'03""",1,3,8,-,1,,-,5,2,6,4,-,-,-,2,2,23,24,6,7,31,33,94%
Douglas Costa,20,"78'16""",-,1,1,1,-,1,,-,1,5,-,-,-,-,2,2,8,9,0,3,10,14,71%
Taison,28,"84'29""",1,-,2,1,4,6,1,,5,-,2,-,-,-,0,0,12,14,10,12,22,26,85%
Alex Teixeira,29,"94'03""",-,-,2,1,2,3,1,3,,2,1,-,-,-,0,0,8,11,8,8,16,19,84%
Darijo Srna,33,"94'03""",4,11,8,1,1,3,6,1,3,,2,1,-,2,5,9,28,32,10,10,43,51,84%
Yaroslav Rakitskiy,44,"94'03""",8,7,2,3,4,4,1,1,1,2,,-,-,-,10,18,21,24,2,2,33,44,75%
Wellington Nem,7,"9'34""",-,2,-,-,-,-,-,-,-,1,-,,-,-,0,0,2,2,1,1,3,3,100%
Marlos 11,,"15'47""",-,-,-,1,-,1,-,-,-,-,-,-,,-,0,0,1,1,1,1,2,2,100%
Olexandr Gladkiy 21,,"4'37""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0%
Total passes received:,,,28,40,33,17,16,25,12,19,20,41,36,4,1,2,34,62,199 219,,62,75,295,356,83%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,7,10,13,17,18,19,25,27,31,9,28,PC,PA,PC,PA,PC,PA,PC,PA,%,
Manuel Neuer,1,"94'03""",,3,1,2,4,6,2,1,-,13,-,-,2,9,11,23,24,2,2,34,37,92%,
Xabi Alonso,3,"65'47""",1,,5,3,5,8,9,17,6,18,8,-,-,5,6,65,68,10,10,80,84,95%,
Franck Ribéry,7,"94'03""",1,6,,4,1,-,4,4,3,4,10,1,1,5,8,24,28,10,16,39,52,75%,
Arjen Robben,10,"94'03""",-,2,-,,10,1,2,8,9,-,4,1,-,0,0,22,27,15,15,37,42,88%,
Rafinha,13,"94'03""",3,9,1,15,,12,3,9,3,9,9,1,1,8,9,46,47,21,21,75,77,97%,
Jérôme Boateng,17,"94'03""",9,6,1,4,13,,2,4,3,7,1,1,1,9,9,38,41,5,5,52,55,95%,
Juan Bernat,18,"94'03""",-,9,15,-,-,-,,2,2,13,8,-,2,3,3,35,41,13,14,51,58,88%,
Mario Götze,19,"75'14""",-,7,3,11,11,3,2,,6,1,5,-,-,2,3,30,34,17,17,49,54,91%,
Thomas Müller,25,"70'15""",-,2,4,5,7,2,1,1,,1,1,-,-,0,0,18,18,6,6,24,24,100%,
David Alaba,27,"94'03""",12,19,13,-,2,4,19,-,-,,5,2,2,3,5,58,60,17,17,78,82,95%,
Schweinsteiger,31,"94'03""",-,3,9,3,7,2,8,1,2,5,,3,-,1,1,29,38,13,14,43,53,81%,
Robert Lewandowski,9,"18'49""",-,-,3,-,2,-,-,-,-,-,-,,-,0,1,3,3,2,2,5,6,83%,
Holger Badstuber 28,,"23'48""",3,-,-,-,-,2,2,-,-,2,-,1,,1,1,9,9,0,0,10,10,100%,
Total passes received:,,,29,66,55,47,62,42,54,48,34,74,51,10,9,46,57,400 438 131 139,,,,577,634,91%,
,,,,,,,,,,,,,,,,,,,,,,,,00:18:13CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Feb 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
