Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 21 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Arena Khimki - Khimki,,,,,,,,,,,,,,,,,,,,,,,,,
PFC CSKA Moskva,,,,,,,,,,1 - 1,,,,,,Manchester United FC,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,35,2,3,4,7,10,18,24,25,42,88,6,8,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Igor Akinfeev,35,"94'02""",,-,-,4,-,2,1,3,-,-,-,2,-,-,1,8,11,11,0,0,12,19,63%
Mário Fernandes,2,"94'02""",2,,2,2,3,4,1,1,5,-,3,4,-,-,1,1,16,18,10,14,27,33,82%
Pontus Wernbloom,3,"94'02""",1,5,,1,1,1,3,5,7,-,2,1,-,-,3,7,17,26,7,9,27,42,64%
Sergei Ignashevich,4,"94'02""",2,3,3,,-,8,3,8,-,6,5,2,-,-,10,17,28,29,2,2,40,48,83%
Zoran Tošić,7,"94'02""",-,4,2,-,,3,-,1,1,-,1,-,-,-,0,0,8,11,4,6,12,17,71%
Alan Dzagoev,10,"87'08""",1,1,2,8,5,,5,5,1,1,1,4,-,-,4,5,21,21,9,11,34,37,92%
Ahmed Musa,18,"94'02""",-,-,-,1,-,-,,-,3,5,2,-,1,-,0,1,6,12,6,9,12,22,55%
Vasili Berezutski,24,"40'51""",3,4,5,9,2,6,-,,1,1,1,-,-,-,4,5,22,26,6,6,32,37,86%
Roman Eremenko,25,"83'37""",-,2,4,3,4,-,1,-,,3,3,-,-,-,1,2,10,12,9,12,20,26,77%
Georgi Schennikov,42,"94'02""",-,-,-,5,-,4,3,-,-,,-,1,-,1,1,2,9,9,4,8,14,19,74%
Seydou Doumbia,88,"94'02""",-,-,1,-,1,2,3,1,1,1,,-,-,-,0,0,5,8,5,8,10,16,62%
Aleksei Berezutski,6,"53'12""",2,5,2,2,-,1,-,-,1,2,-,,2,-,0,0,14,18,3,3,17,21,81%
Kirill Panchenko,8,"10'26""",-,-,1,-,-,-,1,-,-,-,-,-,,-,0,0,1,1,1,2,2,3,67%
Aleksandrs Cauņa 19,,"6'54""",-,-,-,-,1,-,-,-,-,-,-,-,-,,0,0,0,0,1,1,1,1,100%
Total passes received:,,,11,24,22,35,17,31,21,24,20,19,18,14,3,1,25,48,168 202,,67,91,260,341,76%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,9,10,12,21,25,28,31,35,7,17,27,PC,PA,PC,PA,PC,PA,PC,PA,%
David de Gea,1,"94'02""",,7,-,2,-,4,-,3,-,2,1,-,2,1,5,7,15,15,2,2,22,24,92%
Phil Jones,4,"94'02""",5,,2,2,1,8,7,9,16,-,4,-,1,3,7,9,42,44,9,10,58,63,92%
Marcos Rojo,5,"63'46""",1,-,,17,3,14,6,-,7,11,4,-,-,4,1,7,46,52,20,20,67,79,85%
Anthony Martial,9,"94'02""",1,-,17,,3,-,4,2,5,3,1,-,1,2,0,0,30,34,9,18,39,52,75%
Wayne Rooney,10,"94'02""",-,-,2,4,,2,3,1,1,3,1,-,1,-,0,1,11,13,7,11,18,25,72%
Chris Smalling,12,"94'02""",4,7,15,6,-,,6,4,14,4,3,-,7,2,7,7,55,59,10,10,72,76,95%
Ander Herrera,21,"94'02""",1,8,5,1,7,11,,30,22,5,13,-,2,4,5,6,71,77,33,35,109,118,92%
Antonio Valencia,25,"94'02""",3,7,2,5,2,1,21,,21,3,19,-,-,-,2,3,51,58,31,33,84,94,89%
Morgan Schneiderlin,28,"94'02""",1,12,6,5,3,8,26,22,,9,13,4,6,7,22,27,77,81,23,24,122,132,92%
Schweinsteiger,31,"46'02""",2,4,13,4,1,1,6,6,8,,-,-,-,-,6,6,33,36,6,6,45,48,94%
Jesse Lingard,35,"80'04""",-,1,1,2,4,-,19,12,11,3,,-,-,1,2,2,34,36,18,23,54,61,89%
Memphis Depay,7,"13'58""",-,-,-,1,2,-,-,-,1,-,-,,1,-,1,1,4,4,0,2,5,7,71%
Daley Blind 17,,"30'17""",1,2,-,3,-,8,2,-,5,-,-,2,,3,2,4,19,24,5,7,26,35,74%
Marouane Fellaini 27,,"48'01""",1,3,3,7,-,3,3,1,3,-,2,2,7,,2,2,24,24,9,12,35,38,92%
Total passes received:,,,20,51,66,59,26,60,103,90,114,43,61,8,28,27,62,82,512 557 182 213,,,,756,852,89%
,,,,,,,,,,,,,,,,,,,,,,,,04:31:41CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,22 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
