Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - City of Manchester Stadium - Manchester,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City FC,,,,,,,,,,1 - 2,,,,,,,,Juventus,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,7,8,11,14,20,21,25,42,10,17,30,PC,PA,PC,PA,PC,PA,PC,PA,%
Joe Hart,1,"93'08""",,-,4,-,1,-,1,2,-,-,1,-,-,-,2,6,4,4,3,3,9,13,69%
Bacary Sagna,3,"93'08""",1,,9,2,10,-,-,-,5,7,8,1,-,4,1,2,31,34,15,17,47,53,89%
Vincent Kompany,4,"74'22""",1,8,,1,2,1,2,11,3,8,8,-,-,-,4,5,33,33,8,10,45,48,94%
Raheem Sterling,7,"70'45""",-,-,1,,1,9,1,-,6,3,-,-,-,-,1,1,13,14,7,9,21,24,88%
Samir Nasri,8,"83'07""",-,6,-,-,,1,5,1,13,6,8,-,-,1,3,3,14,17,24,28,41,48,85%
Aleksandar Kolarov,11,"93'08""",-,1,-,8,2,,1,5,3,11,3,1,7,1,4,7,23,26,16,20,43,53,81%
Wilfried Bony,14,"93'08""",-,2,-,-,1,1,,-,6,-,3,-,-,-,0,0,8,11,5,5,13,16,81%
Eliaquim Mangala,20,"93'08""",2,2,9,-,2,15,-,,1,10,10,-,1,6,3,4,43,45,12,13,58,62,94%
David Silva,21,"93'08""",-,5,1,9,10,5,2,3,,10,8,-,1,-,2,2,30,32,22,26,54,60,90%
Fernandinho,25,"93'08""",-,11,6,4,9,12,2,10,9,,24,-,1,3,5,6,63,67,23,25,91,98,93%
Yaya Touré,42,"93'08""",-,8,7,5,7,4,4,10,10,23,,1,2,3,6,8,54,56,24,24,84,88,95%
Sergio Agüero 10,,"10'01""",-,-,-,-,-,1,-,2,-,-,1,,-,1,0,0,4,4,1,1,5,5,100%
Kevin De Bruyne 17,,"22'23""",-,-,1,-,1,1,-,1,3,2,4,1,,1,1,1,13,13,1,2,15,16,94%
Nicolás Otamendi 30,,"18'45""",-,6,-,-,-,1,-,7,1,2,2,1,-,,4,5,15,16,1,1,20,22,91%
Total passes received:,,,4,49,38,29,46,51,18,52,60,82,80,5,12,20,36,50,348 372 162 184,,,,546,606,90%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,Medium,,Short,,,Total,,
From,,TP,1,3,9,10,11,16,17,19,26,27,33,15,21,PC,PA,PC,PA,PC,PA,PC,PA,%,
Gianluigi Buffon,1,"93'08""",,11,-,3,1,-,-,11,-,-,1,-,-,8,10,19,19,0,0,27,29,93%,
Giorgio Chiellini,3,"93'08""",6,,3,6,1,-,3,8,1,2,11,-,-,3,6,36,37,2,3,41,46,89%,
Álvaro Morata,9,"84'16""",-,-,,6,4,-,3,1,1,2,1,-,-,3,5,6,10,9,10,18,25,72%,
Paul Pogba,10,"93'08""",-,4,8,,5,-,2,2,1,2,11,-,2,2,6,18,22,17,19,37,47,79%,
Hernanes,11,"93'08""",-,2,1,7,,8,-,4,5,8,4,-,-,2,4,28,31,9,10,39,45,87%,
Juan Cuadrado,16,"93'08""",1,-,1,1,3,,5,2,6,8,-,-,2,0,0,18,20,11,14,29,34,85%,
Mario Mandžukić,17,"77'56""",-,-,5,3,3,6,,-,2,2,2,-,-,1,1,12,13,10,13,23,27,85%,
Leonardo Bonucci,19,"93'08""",4,14,-,2,5,1,1,,6,6,4,-,-,13,18,23,24,7,8,43,50,86%,
Stephan Lichtsteiner,26,"93'08""",1,-,2,1,1,13,2,5,,5,-,-,-,3,3,20,22,7,9,30,34,88%,
Stefano Sturaro,27,"93'08""",-,-,1,1,5,8,4,4,7,,-,-,1,3,5,18,21,10,11,31,37,84%,
Patrice Evra,33,"93'08""",-,5,4,13,2,-,4,-,-,-,,-,1,0,0,20,22,9,9,29,31,94%,
Andrea Barzagli 15,,"8'52""",-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0%,
Paulo Dybala 21,,"15'11""",-,-,-,-,1,4,-,-,1,-,2,-,,0,0,3,3,5,5,8,8,100%,
Total passes received:,,,12,36,25,43,31,40,24,37,30,35,36,0,6,38,58,221 244,,96,111,355,413,86%,
,,,,,,,,,,,,,,,,,,,,,,,,02:15:19CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
