Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Parc des Princes - Paris,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint-Germain,,,,,,,,,,2 - 0,,,,,,,,Malmö FF,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,2,6,8,9,10,11,14,17,23,32,22,27,PC,PA,PC,PA,PC,PA,PC,PA,%
Kevin Trapp,16,"92'31""",,3,1,5,-,2,-,1,4,1,6,-,-,6,11,15,15,2,2,23,28,82%
Thiago Silva,2,"92'31""",2,,11,17,-,1,6,2,8,18,10,-,3,3,3,57,57,18,18,78,78,100%
Marco Verratti,6,"92'31""",-,8,,35,2,8,37,3,4,20,9,1,4,8,10,77,80,46,49,131,139,94%
Thiago Motta,8,"92'31""",3,16,42,,7,5,15,8,10,11,10,-,7,16,17,76,81,42,46,134,144,93%
Edinson Cavani,9,"92'31""",-,2,2,5,,4,2,5,3,-,4,-,2,2,2,18,20,9,10,29,32,91%
Zlatan Ibrahimović,10,"74'45""",-,1,8,5,2,,3,4,5,3,2,-,-,0,1,20,21,13,16,33,38,87%
Ángel Di María,11,"84'06""",-,-,24,9,3,5,,3,2,17,3,-,2,3,6,39,44,26,31,68,81,84%
Blaise Matuidi,14,"92'31""",1,4,3,15,6,5,1,,20,-,4,1,2,2,3,40,45,20,22,62,70,89%
Maxwell,17,"92'31""",1,1,5,13,5,7,5,22,,-,8,-,7,1,2,50,52,23,25,74,79,94%
Gregory van der Wiel,23,"92'31""",3,9,21,4,1,6,19,-,1,,3,3,2,5,9,40,43,27,28,72,80,90%
David Luiz,32,"92'31""",-,16,6,10,3,-,3,12,11,-,,-,2,2,3,49,49,12,13,63,65,97%
Ezequiel Lavezzi 22,,"8'26""",-,-,-,-,-,-,-,2,1,1,-,,3,0,0,5,5,2,2,7,7,100%
Javier Pastore 27,,"17'46""",-,5,6,6,1,-,2,4,2,1,1,2,,1,2,19,19,10,13,30,34,88%
Total passes received:,,,10,65,129 124,,30,43,93,66,71,72,60,7,34,49,69,505 531 250 275,,,,804,875,92%
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,8,9,13,17,21,23,25,28,5,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Johan Wiland,1,"92'31""",,-,-,-,4,7,1,3,-,-,1,-,-,7,20,8,8,1,2,16,30,53%
Anton Tinnerholm,3,"92'31""",-,,-,-,4,-,-,-,-,-,1,-,8,0,2,11,14,2,5,13,21,62%
Oscar Lewicki,6,"92'31""",-,5,,2,-,-,-,4,1,-,10,-,1,3,3,13,16,7,8,23,27,85%
Enoch Kofi Adu,8,"84'19""",-,5,4,,3,10,2,1,-,-,6,-,1,4,4,19,23,9,10,32,37,86%
Markus Rosenberg,9,"92'31""",-,3,-,1,,1,-,-,1,-,3,-,3,0,1,5,11,7,11,12,23,52%
Yoshimar Yotún,13,"92'31""",-,-,-,9,5,,-,-,5,1,5,-,2,6,8,13,17,8,11,27,36,75%
Rasmus Bengtsson,17,"92'31""",-,2,-,-,1,2,,3,-,-,-,-,-,2,3,4,4,2,2,8,9,89%
Kári Árnason,21,"92'31""",3,1,3,-,1,-,1,,1,-,1,-,-,1,5,7,9,3,3,11,17,65%
Jo Inge Berget,23,"92'31""",-,-,1,4,4,2,-,-,,-,6,-,-,0,0,12,13,5,8,17,21,81%
Felipe Carvalho,25,"45'04""",1,-,-,1,-,1,-,-,1,,2,-,-,2,4,3,3,1,1,6,8,75%
Nikola Djurdjić,28,"92'31""",-,1,3,4,2,9,1,-,4,-,,-,-,1,1,15,20,8,12,24,33,73%
Erdal Rakip,5,"8'12""",-,-,-,-,-,1,-,-,-,-,2,,-,0,0,2,2,1,1,3,3,100%
Vladimir Rodić 20,,"47'28""",-,1,4,1,4,-,-,-,-,-,1,-,,2,4,4,6,5,5,11,15,73%
Total passes received:,,,4,18,15,22,28,33,5,11,13,1,38,0,15,28,55,116 146,,59,79,203,280,72%
,,,,,,,,,,,,,,,,,,,,,,,,02:16:01CET
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,16 Sep 2015
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,
