Source;Target;Weight
1;3;7
1;9;1
1;10;2
1;12;3
1;15;8
1;17;1
1;19;2
3;1;4
3;6;3
3;8;7
3;9;2
3;10;3
3;12;15
3;15;3
3;19;18
3;21;1
3;37;1
6;3;2
6;8;2
6;9;1
6;10;3
6;12;1
6;15;8
6;16;2
6;17;1
6;19;3
6;37;2
8;3;8
8;6;2
8;9;1
8;10;5
8;12;10
8;15;8
8;17;2
8;19;7
8;7;1
8;37;2
9;3;1
9;6;1
9;8;3
9;10;3
9;12;6
9;15;1
9;16;3
9;17;1
10;3;5
10;6;2
10;8;6
10;9;8
10;12;11
10;15;1
10;16;1
10;17;6
10;19;6
10;7;1
10;37;4
12;1;7
12;3;9
12;8;5
12;9;6
12;10;17
12;15;1
12;19;6
12;37;1
15;1;2
15;3;1
15;6;9
15;8;2
15;9;4
15;10;2
15;12;1
15;16;10
15;17;2
15;19;14
15;7;1
15;21;1
15;37;6
16;6;5
16;8;2
16;9;6
16;10;2
16;12;1
16;15;3
16;19;1
17;6;2
17;8;2
17;9;2
17;10;5
17;12;1
17;16;1
17;37;1
19;1;1
19;3;16
19;6;5
19;8;5
19;9;2
19;10;8
19;12;2
19;15;15
19;16;2
19;17;2
19;7;2
19;21;1
19;37;2
7;6;2
7;10;1
7;12;1
7;15;2
21;7;2
37;3;1
37;6;1
37;8;2
37;10;2
37;15;5
37;19;1
37;7;3
37;21;1
