3.33	0.67	1.53
18.67	10.67	13.68
9	3.33	4.89
6	4.67	5.23
3.67	2.67	3.56
0.67	0.33	0.31
2.67	3.33	3.4
5.67	3	4.78
3	3.33	2.58
		
		
0 0 0
0 0 0		
116068	81958	108286
		
1.33	3.33	1.96
0	0	0.04
12	11.33	12.5
11	14.33	11.86
551.67	383.33	430.29
110.67	81.67	107.88
363.33	245	275.33
77.67	56.67	47.09
489.67	321	380.78
97.33	65.67	92.11
333	214.33	252.94
59.33	41	35.73
89%	84%	35%
88%	80%	34%
92%	87%	36%
76%	72%	30%
40.3/20	40/9.7	36.6/14.8
26.7/13	19.7/8	22.7/10.9
10.7/8	7.3/3	9.3/4.8
