0.67	3	1.47
14	19	13.6
3.67	9	4.89
5.33	8.33	5.28
5	1.67	3.44
0	0.67	0.32
3.33	1	3.46
7	6	4.88
3	2	2.55
		
		
0 0 0
0 0 0		
108725	120334	109095
		
2	0.33	2
0	0	0.06
9	9	12.65
13	8.67	11.99
475.33	438.33	428.25
105	145	108.65
321.67	246.67	272.22
48.67	46.67	47.39
416.67	373.67	378.03
89	124.33	92.66
289.67	220.33	249.63
38	29	35.75
88%	85%	29%
85%	86%	28%
90%	89%	30%
78%	62%	25%
43/21	32.7/19	36.2/15.2
20.7/13	24.3/13.7	22.2/11.3
9/2.7	12/7	9.3/4.8
