Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 29 September 2015,,,,,,,,,,,,,,,
Group H - Stade de Gerland - Lyon,,,,,,,,,,,,,,,
,Olympique Lyonnais,,,,,,0 - 1,,,,,,Valencia CF,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Anthony Lopes,1,"95'25""",,,,,,,,1,,,,
,Milan Biševac,5,"95'25""",,,,,,,1,,,,,
,Corentin Tolisso,8,"95'25""",,1,,,3,1,,1,,,,
,Alexandre Lacazette,10,"75'35""",,1,,,,2,,1,,,,
,Christophe Jallet,13,"95'25""",,,,,1,1,4,1,,,,
,Sergi Darder,14,"42'27""",,,,,,,1,2,,,,
,Jérémy Morel,15,"79'39""",,,,,2,,,,,,,
,Mathieu Valbuena,19,"95'25""",,1,,,1,1,1,2,,,,
,Maxime Gonalons,21,"95'25""",,,,,,1,4,1,,1,,
,Samuel Umtiti,23,"95'25""",,1,,,1,,,,,,,
,Aldo Kalulu,26,"95'25""",,,,,,1,2,1,,1,,
,Mathieu Gorgelin,30,,,,,,,,,,,,,
,Claudio Beauvue,9,"19'50""",,,,,,,,,,,,
,Rachid Ghezzal,11,"15'45""",,,,,,,,,,,,
,Jordan Ferri,12,"52'58""",,,,,,2,,1,,1,,
,Steed Malbranque,17,,,,,,,,,,,,,
,Maxwel Cornet,27,,,,,,,,,,,,,
,Arnold Mvuemba,28,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"95'25""",,,,,,,,,,1,,24,Jaume Doménech
,,"95'25""",,,,,,,1,2,,,,2,João Cancelo
,,"95'25""",,,,,,,1,,,,,5,Shkodran Mustafi
,,"95'25""",,,,,,,1,1,1,,,6,Lucas Orbán
,,"72'42""",,,,,,1,,1,,,,7,Álvaro Negredo
,,"95'25""",1,1,,1,,,,,,,,8,Sofiane Feghouli
,,"95'25""",,,,,,,2,4,,,,10,Daniel Parejo
,,"95'25""",,1,,,,,,3,1,,,11,Pablo Piatti
,,"85'53""",,,,,,,3,1,,1,,15,Enzo Pérez
,,"95'25""",,,,,,,3,,,1,,18,Javi Fuego
,,"61'06""",,,1,,1,,1,,,,,23,Aymen Abdennour
,,,,,,,,,,,,,,13,Yoel
,,"34'19""",,,,,,,,,,,,4,Aderlan Santos
,,,,,,,,,,,,,,9,Paco Alcácer
,,"9'31""",,,,,,,,,,,,12,Danilo Barbosa
,,"22'43""",,,,,,,1,1,3,,,17,Rodrigo
,,,,,,,,,,,,,,19,Antonio Barragán
,,,,,,,,,,,,,,22,Santi Mina
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,01:47:24CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,30 Sep 2015
UEFA Media Information,,,,,,,,,,,,,,,
