Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 30 September 2015,,,,,,,,,,,,,,,
Group A - Arena Lviv - Lviv,,,,,,,,,,,,,,,
,FC Shakhtar Donetsk,,,,,,0 - 3,,,,Paris Saint-Germain,,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Andriy Pyatov,30,"94'05""",,,,,,,,2,,,,
,Olexandr Kucher,5,"94'05""",,,,,1,1,1,2,,,,
,Fred,8,"94'05""",,,,,1,1,1,2,,,,
,Marlos,11,"71'17""",,,,,1,,,1,,,,
,Vyacheslav Shevchuk,13,"94'05""",,,,,,,,,,,,
,Maksym Malyshev,17,"94'05""",,,,,1,1,2,1,,,,
,Olexandr Gladkiy,21,"85'22""",,,,,,,2,2,4,,,
,Taison,28,"71'48""",,,,,1,1,1,1,,,,
,Alex Teixeira,29,"94'05""",,2,,1,1,,2,3,,,,
,Darijo Srna,33,"94'05""",,1,,,,1,,2,,,,
,Yaroslav Rakitskiy,44,"94'05""",,,,,1,1,2,,,,,
,Anton Kanibolotskiy,32,,,,,,,,,,,,,
,Dentinho,9,"8'43""",,,,,,,1,1,,,,
,Bernard,10,"22'17""",,,,,,1,,,,,,
,Ivan Ordets,18,,,,,,,,,,,,,
,Eduardo,22,,,,,,,,,,,,,
,Márcio Azevedo,66,,,,,,,,,,,,,
,Viktor Kovalenko,74,"22'47""",,,,,,,1,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'05""",,,,,,,,1,,,,16,Kevin Trapp
,,"94'05""",,,,,,,2,2,,1,,2,Thiago Silva
,,"94'05""",,,,,,1,1,2,,,,6,Marco Verratti
,,"94'05""",,,,,,,,,,,,8,Thiago Motta
,,"80'16""",,,,,,,1,,2,,,9,Edinson Cavani
,,"92'57""",,1,,,1,1,4,3,2,1,,10,Zlatan Ibrahimović
,,"82'29""",,1,,,1,,1,,,,,11,Ángel Di María
,,"94'05""",,,,,,,2,,,,,14,Blaise Matuidi
,,"94'05""",,,,,,1,,,,,,17,Maxwell
,,"94'05""",1,1,,,,,2,,,,,19,Serge Aurier
,,"94'05""",1,1,,,,,3,2,,1,,32,David Luiz
,,,,,,,,,,,,,,30,Salvatore Sirigu
,,,,,,,,,,,,,,5,Marquinhos
,,"13'49""",,,,,,,1,,,,,7,Lucas
,,,,,,,,,,,,,,20,Layvin Kurzawa
,,"1'08""",,,,,,,,,,,,22,Ezequiel Lavezzi
,,,,,,,,,,,,,,25,Adrien Rabiot
,,"11'36""",,,,,,,,2,,,,27,Javier Pastore
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,01:41:21CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,01 Oct 2015
UEFA Media Information,,,,,,,,,,,,,,,
