0.67	2	1.47
11	9.67	13.6
2.67	3.33	4.89
4.67	4	5.28
3.67	2.33	3.44
0.67	0	0.32
3.67	4.33	3.46
4.67	2.67	4.88
2.33	2.33	2.55
		
		
0 0 0
0 0 0		
111655	112375	109095
		
2	1.67	2
0	0.33	0.06
13.67	13.67	12.65
10.67	10.67	11.99
342.67	470.33	428.25
68.67	123.33	108.65
222.33	301	272.22
51.67	46	47.39
297	420	378.03
58.33	108.67	92.66
200.33	276.67	249.63
38.33	34.67	35.75
87%	89%	29%
85%	88%	28%
90%	92%	30%
74%	75%	25%
32/17.3	41/19	36.2/15.2
14.7/11.7 22.7/15.7	22.2/11.3
5.7/3.7	8/6.7	9.3/4.8
