Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 5 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Fußball Arena München - Munich,,,,,,,,,,,,,,,,,,,,,,,,,
FC Bayern München,,,,,,,,,,2 - 0,,,,,,,,AS Roma,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,7,9,13,17,18,19,21,27,11,20,34,PC,PA,PC,PA,PC,PA,PC,PA,%
Manuel Neuer,1,94'01,,2,4,1,-,2,8,1,-,2,1,-,-,-,7,7,14,14,0,0,21,21,1
Xabi Alonso,3,72'30,1,,10,3,1,11,5,7,4,7,3,-,-,-,3,3,36,38,13,13,52,54,0.96
Medhi Benatia,5,94'01,3,7,,4,1,16,24,-,4,18,2,1,-,-,5,7,64,66,11,12,80,85,0.94
Franck Ribéry,7,94'01,-,4,2,,4,4,4,13,7,6,10,1,2,-,5,5,33,38,19,21,57,64,0.89
Robert Lewandowski,9,94'01,-,-,-,3,,1,2,1,5,5,1,-,-,1,0,0,11,13,8,11,19,24,0.79
Rafinha,13,94'01,2,7,10,2,6,,8,3,10,19,2,4,2,1,11,12,46,47,19,21,76,80,0.95
Jérôme Boateng,17,94'01,4,11,7,15,2,3,,16,6,5,12,-,1,1,8,10,62,65,13,14,83,89,0.93
Juan Bernat,18,94'01,1,2,-,19,2,-,15,,4,1,7,-,-,2,0,1,30,31,23,26,53,58,0.91
Mario Götze,19,94'01,1,4,3,5,2,10,1,3,,5,1,-,-,-,2,2,17,19,16,20,35,41,0.85
Philipp Lahm,21,88'22,1,9,16,5,9,18,4,-,7,,3,4,1,-,3,4,46,48,28,32,77,84,0.92
David Alaba,27,81'19,-,3,5,11,2,2,3,8,1,4,,1,-,-,3,3,26,28,11,14,40,45,0.89
Xherdan Shaqiri 11,,21'32,-,-,1,1,1,3,1,1,-,3,1,,2,-,2,2,7,8,5,6,14,16,0.88
Sebastian Rode 20,,12'42,-,-,3,-,-,1,-,-,1,1,-,1,,1,1,1,4,4,3,3,8,8,1
Pierre Højbjerg 34,,5'39,-,-,-,-,-,1,2,-,1,-,-,1,1,,1,1,3,3,2,3,6,7,0.86
Total passes received:,,,13,49,61,69,30,72,77,53,50,76,43,13,9,6,51,58,399 422 171 196,,,,621,676,0.92
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,28,2,4,7,16,20,22,24,25,35,44,3,15,27,PC,PA,PC,PA,PC,PA,PC,PA,%
Łukasz Skorupski,28,94'01,,1,1,-,1,1,4,2,1,1,-,-,-,-,9,23,3,4,0,0,12,27,0.44
Mapou Yanga-Mbiwa,2,94'01,1,,-,-,-,1,-,-,-,1,-,-,2,-,1,1,4,5,0,0,5,6,0.83
Radja Nainggolan,4,94'01,2,-,,4,3,2,2,-,-,1,1,4,-,1,1,1,12,15,7,10,20,26,0.77
Juan Manuel Iturbe,7,74'46,-,-,1,,3,1,3,-,1,-,-,-,1,-,1,2,4,5,5,7,10,14,0.71
Daniele De Rossi,16,94'01,1,3,1,1,,5,5,3,9,1,2,5,2,-,8,8,25,26,5,7,38,41,0.93
Seydou Keita,20,94'01,2,1,2,3,8,,2,1,3,2,-,3,1,3,7,7,15,18,9,10,31,35,0.89
Mattia Destro,22,94'01,-,-,1,5,-,2,,2,1,1,-,-,-,-,2,3,5,6,5,6,12,15,0.8
Alessandro Florenzi,24,58'41,1,-,2,1,1,1,1,,-,1,-,-,-,-,1,3,5,8,2,3,8,14,0.57
José Holebas,25,46'03,1,-,6,-,1,3,1,-,,-,3,-,-,-,3,5,7,9,5,5,15,19,0.79
Vasilis Torosidis,35,94'01,2,1,-,2,-,3,1,3,-,,-,-,2,-,0,1,8,10,6,6,14,17,0.82
Kostas Manolas,44,94'01,6,-,2,1,1,1,1,-,2,2,,-,-,-,4,4,10,12,2,3,16,19,0.84
Ashley Cole,3,47'58,-,-,6,1,3,-,-,-,-,-,2,,-,2,0,0,8,8,6,7,14,15,0.93
Miralem Pjanić 15,,35'20,-,1,-,-,1,-,-,-,-,3,-,-,,1,0,0,4,5,2,3,6,8,0.75
Gervinho 27,,19'15,-,-,1,-,-,-,-,-,-,-,-,1,-,,0,0,1,3,1,3,2,6,0.33
Total passes received:,,,16,7,23,18,22,20,20,11,17,13,8,13,8,7,37,58,111 134,,55,70,203,262,0.77
,,,,,,,,,,,,,,,,,,,,,,,,05:05:16CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,06 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
