Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - BVB Stadion Dortmund - Dortmund,,,,,,,,,,,,,,,,,,,,,,,,,
Borussia Dortmund,,,,,,,,,,4 - 1,,,,,,,Galatasaray AŞ,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,6,7,10,11,17,25,26,37,8,9,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Roman Weidenfeller,1,95'27,,9,-,-,-,-,1,-,8,4,4,-,-,-,2,2,24,24,0,0,26,26,1
Neven Subotić,4,95'27,6,,6,4,-,-,2,-,8,16,3,2,-,-,7,8,37,38,3,3,47,49,0.96
Sebastian Kehl,5,95'27,3,6,,2,5,3,2,5,9,7,12,1,-,-,6,7,37,40,12,13,55,60,0.92
Sven Bender,6,85'38,1,6,3,,2,3,3,-,2,6,5,-,-,-,3,4,21,21,7,7,31,32,0.97
Shinji Kagawa,7,63'48,1,2,3,1,,2,8,2,-,3,4,-,-,-,2,4,16,18,8,10,26,32,0.81
Henrikh Mkhitaryan,10,95'27,-,-,1,1,5,,2,5,3,14,2,7,-,-,6,6,23,26,11,17,40,49,0.82
Marco Reus,11,71'29,-,-,5,3,7,4,,4,2,1,5,-,-,-,0,0,21,23,10,14,31,37,0.84
Aubameyang,17,95'27,-,-,3,1,1,6,2,,-,-,3,-,3,-,0,0,6,10,13,19,19,29,0.66
Papastathopoulos,25,95'27,3,5,8,6,1,4,2,1,,2,13,1,-,-,5,8,34,35,7,11,46,54,0.85
Łukasz Piszczek,26,95'27,3,13,4,6,4,9,3,1,-,,-,3,1,-,4,4,29,33,14,18,47,55,0.85
Erik Durm,37,95'27,4,1,11,2,3,1,13,4,10,-,,1,1,-,8,13,32,34,11,13,51,60,0.85
İlkay Gündoğan,8,31'39,-,-,2,-,-,8,-,2,2,1,1,,1,-,5,5,6,6,6,6,17,17,1
Ciro Immobile,9,23'59,-,-,1,-,-,1,-,2,-,-,-,-,,-,1,1,2,4,1,1,4,6,0.67
Adrián Ramos 20,,9'49,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,21,42,47,26,28,41,38,26,44,54,52,15,6,0,49,62,288 312 103 132,,,,440,506,0.87
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,4,6,8,9,10,21,22,26,77,17,23,PC,PA,PC,PA,PC,PA,PC,PA,%,
Fernando Muslera,1,95'27,,1,1,2,3,1,1,8,-,10,-,-,-,9,11,15,15,3,3,27,29,0.93,
Felipe Melo,3,95'27,-,,5,1,2,2,2,6,7,6,8,-,1,5,5,25,27,10,14,40,46,0.87,
Hamit Altıntop,4,82'36,-,3,,1,4,5,-,3,1,2,8,-,-,2,2,16,19,9,13,27,34,0.79,
Blerim Dzemaili,6,95'27,-,6,-,,2,-,6,2,5,5,1,-,-,0,0,20,23,7,11,27,34,0.79,
Selçuk İnan,8,95'27,1,3,6,5,,4,5,4,5,6,6,-,-,4,8,27,28,14,14,45,50,0.9,
Umut Bulut,9,85'14,-,1,4,2,4,,2,-,1,-,1,-,-,0,0,5,6,10,12,15,18,0.83,
Wesley Sneijder,10,95'27,-,4,1,4,5,8,,1,5,1,-,-,-,0,0,18,21,11,13,29,34,0.85,
Aurélien Chedjou,21,95'27,7,6,4,1,4,-,2,,4,9,5,-,-,7,11,33,36,2,3,42,50,0.84,
Hakan Balta,22,95'27,2,3,-,7,6,-,5,4,,6,-,-,1,4,8,17,19,13,14,34,41,0.83,
Semih Kaya,26,95'27,3,6,-,9,6,1,-,10,11,,4,-,-,10,12,35,35,5,5,50,52,0.96,
Tarık Çamdal,77,95'27,3,2,7,-,3,-,-,8,-,1,,-,-,2,3,14,15,8,8,24,26,0.92,
Burak Yılmaz 17,,10'13,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0,
Yasin Öztekin 23,,12'51,-,1,-,-,-,-,-,-,-,-,-,-,,1,1,0,0,0,0,1,1,1,
Total passes received:,,,16,36,28,32,39,21,23,46,39,46,33,0,2,44,61,225 244,,92,110,361,415,0.87,
,,,,,,,,,,,,,,,,,,,,,,,,02:30:15CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
