Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 5 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Parc des Princes - Paris,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint-Germain,,,,,,,,,,1 - 0,,,,,,,,APOEL FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,30,2,7,8,9,14,17,22,23,27,32,4,15,PC,PA,PC,PA,PC,PA,PC,PA,%,
Salvatore Sirigu,30,93'15,,6,-,3,-,-,3,-,-,1,2,-,-,1,1,14,14,0,0,15,15,1,
Thiago Silva,2,93'15,2,,4,15,-,10,7,-,19,17,17,-,-,12,14,65,67,14,14,91,95,0.96,
Lucas,7,86'56,-,4,,9,2,4,-,-,13,12,2,-,-,3,4,29,33,14,16,46,53,0.87,
Thiago Motta,8,93'15,1,9,8,,3,30,16,3,9,27,10,-,1,9,9,76,78,32,33,117,120,0.98,
Edinson Cavani,9,93'15,-,2,2,2,,4,1,1,-,2,-,1,-,0,0,11,14,4,5,15,19,0.79,
Blaise Matuidi,14,93'15,1,6,5,16,2,,22,10,8,9,11,-,2,10,10,61,63,21,21,92,94,0.98,
Maxwell,17,93'15,-,3,2,22,3,19,,15,-,13,16,-,2,5,5,67,70,23,23,95,98,0.97,
Ezequiel Lavezzi,22,78'35,-,2,1,4,3,3,11,,2,5,1,-,-,2,3,20,23,10,12,32,38,0.84,
Gregory van der Wiel,23,93'15,4,17,19,4,2,3,-,-,,20,3,1,3,8,8,36,36,32,33,76,77,0.99,
Javier Pastore,27,93'15,1,10,14,25,3,11,11,5,18,,7,-,-,12,13,62,70,31,33,105,116,0.91,
David Luiz,32,93'15,4,20,1,10,-,6,23,1,4,4,,-,-,11,13,54,55,8,8,73,76,0.96,
Yohan Cabaye,4,6'20,-,1,-,-,-,-,1,-,1,-,-,,-,1,1,2,2,0,0,3,3,1,
Bahebeck 15,,14'40,1,-,-,1,-,1,2,-,2,-,-,1,,0,0,4,4,4,4,8,8,1,
Total passes received:,,,14,80,56,111,18,91,97,35,76,110,69,3,8,74,81,501 529 193 202,,,,768,812,0.95,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,78,3,5,7,8,16,21,26,28,44,79,9,30,46,PC,PA,PC,PA,PC,PA,PC,PA,%
Urko Pardo,78,93'15,,1,1,-,1,3,1,-,-,-,-,-,1,-,2,3,6,6,0,0,8,9,0.89
João Guilherme,3,93'15,1,,6,-,2,8,2,4,6,-,1,-,1,-,3,4,27,28,1,1,31,33,0.94
Carlão,5,93'15,3,8,,4,-,2,3,3,3,5,-,-,-,1,4,4,23,24,5,5,32,33,0.97
George Efrem,7,93'15,-,1,-,,-,3,1,1,2,1,4,-,-,-,1,1,7,8,5,5,13,14,0.93
Tiago Gomes,8,46'06,-,1,-,1,,1,1,4,3,-,2,-,-,-,0,0,9,10,4,6,13,16,0.81
Vinicius,16,93'15,-,6,2,3,3,,4,4,12,2,4,1,4,2,3,4,35,37,9,12,47,53,0.89
Gustavo Manduca,21,59'21,-,-,5,1,3,4,,3,1,4,4,1,-,-,0,0,12,13,14,15,26,28,0.93
Nuno Morais,26,93'15,1,4,2,3,1,6,3,,2,5,3,-,-,-,2,2,21,25,7,8,30,35,0.86
Mário Sérgio,28,93'15,3,7,1,1,2,11,1,2,,1,1,1,-,1,0,3,26,29,6,7,32,39,0.82
Nicholas Ioannou,44,93'15,-,1,5,2,-,-,2,2,-,,-,-,1,2,0,2,10,10,5,8,15,20,0.75
Rafik Djebbour,79,64'32,-,-,-,2,1,5,2,2,2,2,,-,-,-,0,0,13,15,3,3,16,18,0.89
Cillian Sheridan,9,47'10,-,-,-,-,-,-,1,-,-,-,-,,1,-,0,0,0,2,2,3,2,5,0.4
Tomás De Vincenti 30,,33'54,-,-,-,-,-,1,-,1,3,-,-,-,,1,3,3,2,3,1,2,6,8,0.75
Stathis Aloneftis 46,,28'44,-,-,-,-,-,-,-,-,1,1,-,1,-,,0,0,3,3,0,1,3,4,0.75
Total passes received:,,,8,29,22,17,13,44,21,26,35,21,19,4,8,7,18,26,194 213,,62,76,274,315,0.87
,,,,,,,,,,,,,,,,,,,,,,,,04:49:45CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,06 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
