Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Stadion Petrovskiy - St. Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,
Football Club Zenit,,,,,,,,,,1 - 2,,,,,,Bayer 04 Leverkusen,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,6,7,11,17,21,24,28,35,5,10,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Yuri Lodygin,1,94'34,,1,1,10,3,-,-,1,11,4,-,-,-,-,10,17,20,20,1,1,31,38,0.82
Aleksandr Anyukov,2,94'34,-,,-,-,3,-,2,2,4,3,1,-,-,-,0,2,8,9,7,8,15,19,0.79
Domenico Criscito,4,94'34,3,-,,5,1,2,7,-,2,3,12,1,1,1,5,7,23,28,10,12,38,47,0.81
Nicolas Lombaerts,6,94'34,4,-,13,,1,-,4,3,9,3,5,-,-,-,9,11,31,32,2,3,42,46,0.91
Hulk,7,94'34,-,2,-,-,,2,1,1,1,-,7,-,-,-,1,4,5,7,8,17,14,28,0.5
Aleksandr Kerzhakov,11,79'57,-,-,1,-,3,,1,-,-,3,2,-,-,-,0,0,5,8,5,6,10,14,0.71
Oleg Shatov,17,87'22,-,1,7,1,2,1,,1,-,2,2,1,-,1,2,2,12,15,5,9,19,26,0.73
Javi García,21,94'34,1,2,5,6,2,-,1,,4,1,2,-,1,-,3,4,16,17,6,7,25,28,0.89
Ezequiel Garay,24,94'34,10,5,1,12,3,1,2,4,,2,1,1,-,2,9,10,33,35,2,3,44,48,0.92
Axel Witsel,28,94'34,2,-,4,2,5,1,2,3,2,,3,1,-,-,0,0,17,19,8,9,25,28,0.89
Danny,35,79'59,-,4,2,1,6,5,4,1,1,1,,-,-,-,3,6,15,19,7,14,25,39,0.64
Aleksandr Ryazantsev,5,14'35,-,-,-,-,1,-,-,-,-,1,-,,-,2,0,0,4,4,0,0,4,4,1
Andrey Arshavin 10,,7'12,-,-,3,-,-,-,-,-,-,-,-,-,,-,0,0,3,3,0,0,3,3,1
José Rondón 23,,14'37,-,-,1,-,1,-,1,-,-,-,-,1,-,,0,0,2,2,2,3,4,5,0.8
Total passes received:,,,20,15,38,37,31,12,25,16,34,23,35,5,2,6,42,63,194 218,,63,92,299,373,0.8
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,7,8,10,11,16,19,21,26,38,9,17,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Bernd Leno,1,94'34,,1,1,-,-,-,1,1,5,-,-,-,-,-,1,13,7,7,1,1,9,21,0.43
Emir Spahić,5,94'34,3,,-,1,2,1,3,1,2,1,-,-,-,-,4,7,8,12,2,4,14,23,0.61
Son Heung-Min,7,94'34,-,-,,1,3,2,-,1,1,-,3,1,-,-,0,2,6,6,6,8,12,16,0.75
Lars Bender,8,94'34,-,3,1,,2,5,3,2,4,-,4,1,-,-,0,3,15,17,10,13,25,33,0.76
Hakan Çalhanoğlu,10,94'34,1,1,1,8,,2,-,2,1,3,6,2,-,-,3,4,19,21,5,6,27,31,0.87
Stefan Kiessling,11,91'51,-,-,4,1,2,,1,1,-,1,4,-,-,-,0,0,5,8,9,11,14,19,0.74
Tin Jedvaj,16,65'25,1,2,-,1,1,1,,1,-,-,3,1,-,-,0,0,8,11,3,5,11,16,0.69
Julian Brandt,19,53'19,-,1,1,1,2,3,1,,-,1,-,-,-,-,0,0,2,4,8,10,10,14,0.71
Ömer Toprak,21,94'34,6,4,3,1,2,2,-,1,,-,3,-,1,-,1,3,16,17,6,6,23,26,0.88
Giulio Donati,26,94'34,1,1,2,2,1,-,-,1,-,,3,2,-,-,1,1,6,7,6,7,13,15,0.87
Karim Bellarabi,38,94'34,-,-,5,-,3,2,-,1,1,1,,1,-,-,0,0,8,10,6,7,14,17,0.82
Josip Drmić,9,41'15,-,-,-,1,2,1,1,-,1,2,2,,1,2,1,1,6,6,6,7,13,14,0.93
Sebastian Boenisch 17,,29'09,-,1,-,1,1,-,-,-,-,-,-,-,,-,0,0,2,2,1,1,3,3,1
Robbie Kruse 23,,2'43,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,12,14,18,18,21,19,10,12,15,9,28,8,2,2,11,34,108 128,,69,86,188,248,0.76
,,,,,,,,,,,,,,,,,,,,,,,,00:39:51CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
