Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 5 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - City of Manchester Stadium - Manchester,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City FC,,,,,,,,,,1 - 2,,,,,,,PFC CSKA Moskva,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,6,7,15,16,22,26,35,42,8,10,25,PC,PA,PC,PA,PC,PA,PC,PA,%
Joe Hart,1,93'23,,4,-,-,1,-,-,-,6,-,-,1,1,1,3,3,9,9,2,2,14,14,1
Vincent Kompany,4,93'23,5,,13,13,4,2,-,-,11,-,5,3,-,1,4,7,44,44,9,9,57,60,0.95
Pablo Zabaleta,5,93'23,1,9,,5,8,14,4,-,3,-,10,2,2,2,1,2,38,40,21,25,60,67,0.9
Fernando,6,64'32,-,5,9,,6,5,1,11,11,8,15,-,-,5,8,9,55,58,13,13,76,80,0.95
James Milner,7,93'23,-,6,7,-,,2,6,10,5,5,6,5,1,1,6,6,37,42,11,14,54,62,0.87
Jesús Navas,15,45'07,-,2,6,4,-,,3,1,4,-,6,-,-,-,1,1,18,18,7,7,26,26,1
Sergio Agüero,16,93'23,-,-,2,2,1,1,,1,-,2,6,2,1,-,0,0,10,12,8,9,18,21,0.86
Gaël Clichy,22,93'23,-,1,-,11,21,-,5,,4,5,6,11,2,1,0,2,39,41,28,31,67,74,0.91
Martín Demichelis,26,93'23,1,5,3,7,7,-,2,17,,3,8,10,1,1,4,5,45,48,16,17,65,70,0.93
Stevan Jovetić,35,45'07,-,-,1,6,4,2,2,3,1,,7,-,-,-,0,1,15,19,11,14,26,34,0.76
Yaya Touré,42,81'17,-,4,12,12,11,1,5,9,7,7,,7,1,1,4,6,54,58,19,25,77,89,0.87
Samir Nasri,8,48'16,-,2,5,5,2,-,3,9,2,-,14,,4,2,0,0,31,31,17,19,48,50,0.96
Edin Džeko 10,,28'51,-,-,1,-,1,-,-,2,-,-,1,5,,-,0,0,4,5,6,7,10,12,0.83
Fernandinho 25,,24'25,-,2,-,2,2,-,1,2,-,-,4,2,1,,0,0,12,14,4,4,16,18,0.89
Total passes received:,,,7,40,59,67,68,27,32,65,54,30,88,48,14,15,31,42,411 439 172 196,,,,614,677,0.91
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,Medium,,Short,,,Total,,
From,,TP,35,2,3,4,10,18,24,25,42,66,88,15,23,PC,PA,PC,PA,PC,PA,PC,PA,%,
Igor Akinfeev,35,93'23,,1,1,4,1,1,2,1,-,1,-,1,-,3,4,10,10,0,0,13,14,0.93,
Mário Fernandes,2,93'23,1,,1,6,1,10,4,1,1,4,1,2,1,3,4,18,21,12,12,33,37,0.89,
Pontus Wernbloom,3,93'23,-,1,,4,5,-,4,2,-,7,1,-,2,1,1,15,16,10,12,26,29,0.9,
Sergei Ignashevich,4,93'23,1,2,2,,6,-,6,3,7,7,1,-,1,5,7,26,28,5,5,36,40,0.9,
Alan Dzagoev,10,85'38,-,-,2,1,,3,1,5,4,9,2,-,-,0,0,15,18,12,14,27,32,0.84,
Ahmed Musa,18,93'23,-,6,2,-,1,,1,3,-,3,4,-,2,0,0,8,11,14,19,22,30,0.73,
Vasili Berezutski,24,93'23,2,5,1,3,1,3,,2,4,11,-,-,-,3,8,25,27,4,4,32,39,0.82,
Roman Eremenko,25,93'23,-,3,3,2,4,7,2,,3,8,2,-,4,1,3,22,24,15,17,38,44,0.86,
Georgi Schennikov,42,93'23,1,-,1,5,5,-,1,3,,5,1,-,-,2,3,14,15,6,9,22,27,0.81,
Bebras Natcho,66,93'23,-,5,4,2,8,5,5,12,9,,6,2,4,4,5,41,47,17,21,62,73,0.85,
Seydou Doumbia,88,66'05,-,1,-,-,3,4,-,1,-,-,,-,-,1,1,5,5,3,5,9,11,0.82,
Dmitri Efremov 15,,7'46,-,-,-,-,-,-,-,-,-,1,-,,-,0,0,0,2,1,2,1,4,0.25,
Georgi Milanov 23,,27'18,-,3,1,-,-,2,-,2,-,1,-,-,,0,0,9,10,0,0,9,10,0.9,
Total passes received:,,,5,27,18,27,35,35,26,35,28,57,18,5,14,23,36,208 234,,99,120,330,390,0.85,
,,,,,,,,,,,,,,,,,,,,,,,,04:33:28CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,06 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
