Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 30 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Arena Khimki - Khimki,,,,,,,,,,,,,,,,,,,,,,,,,
PFC CSKA Moskva,,,,,,,,,,0 - 1,,,,,,FC Bayern München,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,35,2,4,6,7,18,23,24,25,42,66,15,88,PC,PA,PC,PA,PC,PA,PC,PA,%,
Igor Akinfeev,35,94'07,,-,5,2,5,1,1,1,1,1,-,-,1,7,14,11,11,0,0,18,25,0.72,
Mário Fernandes,2,94'07,-,,1,-,4,1,2,-,2,-,2,-,-,0,0,5,5,7,10,12,15,0.8,
Sergei Ignashevich,4,94'07,3,2,,3,-,1,2,3,2,2,2,1,-,4,6,15,16,2,2,21,24,0.88,
Aleksei Berezutski,6,94'07,2,-,2,,-,1,3,-,5,5,1,-,-,1,2,14,14,4,5,19,21,0.9,
Zoran Tošić,7,79'04,-,6,2,1,,2,4,1,2,-,-,-,-,3,3,10,14,5,7,18,24,0.75,
Ahmed Musa,18,94'07,-,-,-,1,3,,1,1,1,-,-,1,1,3,4,6,8,0,0,9,12,0.75,
Georgi Milanov,23,94'07,-,2,2,2,1,1,,1,3,6,5,-,-,0,2,15,16,8,8,23,26,0.88,
Vasili Berezutski,24,94'07,2,2,-,1,2,1,1,,3,-,-,-,-,1,3,8,9,3,3,12,15,0.8,
Roman Eremenko,25,94'07,-,1,2,2,4,6,3,3,,3,2,1,-,4,4,18,21,5,7,27,32,0.84,
Georgi Schennikov,42,94'07,1,1,-,2,-,3,6,-,2,,-,-,-,1,2,9,11,5,6,15,19,0.79,
Bebras Natcho,66,66'44,-,1,1,1,2,-,1,1,4,1,,-,-,1,4,4,5,7,9,12,18,0.67,
Dmitri Efremov 15,,15'03,-,-,-,-,-,-,-,1,-,-,-,,1,0,0,1,1,1,3,2,4,0.5,
Seydou Doumbia 88,,27'23,-,-,-,-,-,1,1,-,1,-,-,-,,0,0,1,1,2,2,3,3,1,
Total passes received:,,,8,15,15,15,21,18,25,12,26,18,12,3,3,25,44,117 132,,49,62,191,238,0.8,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,5,9,10,18,19,21,25,27,11,13,14,PC,PA,PC,PA,PC,PA,PC,PA,%
Manuel Neuer,1,94'07,,4,5,7,1,1,4,-,3,1,3,-,-,-,6,7,22,22,1,1,29,30,0.97
Xabi Alonso,3,94'07,-,,16,14,3,18,17,13,28,10,20,1,1,-,15,15,102 107,,24,29,141,151,0.93
Dante,4,94'07,2,20,,27,3,-,16,4,13,2,31,-,-,-,6,9,93,95,19,20,118,124,0.95
Mehdi Benatia,5,94'07,3,24,31,,2,8,1,1,31,5,5,-,2,-,3,4,91,93,19,19,113,116,0.97
Robert Lewandowski,9,90'50,-,1,-,3,,2,1,3,3,5,1,-,1,-,0,1,13,14,7,7,20,22,0.91
Arjen Robben,10,82'02,-,12,3,5,2,,3,4,6,12,3,-,-,-,1,1,30,35,19,25,50,61,0.82
Juan Bernat,18,94'07,2,17,6,3,1,3,,6,4,3,23,2,-,-,1,1,48,51,21,22,70,74,0.95
Mario Götze,19,77'35,-,7,3,-,1,3,4,,2,2,10,-,-,-,1,1,18,18,13,17,32,36,0.89
Philipp Lahm,21,94'07,5,20,18,20,4,22,2,2,,11,9,-,3,-,8,11,84,86,24,24,116,121,0.96
Thomas Müller,25,94'07,-,2,2,4,6,6,5,4,9,,1,1,1,-,0,0,25,28,16,18,41,46,0.89
David Alaba,27,94'07,6,24,24,16,3,2,21,7,9,3,,-,2,-,4,7,84,85,29,31,117,123,0.95
Xherdan Shaqiri 11,,16'32,-,-,-,-,-,-,-,-,-,-,1,,2,1,0,0,4,4,0,2,4,6,0.67
Rafinha 13,,12'05,-,1,-,1,-,-,-,-,3,2,3,1,,-,0,0,6,7,5,7,11,14,0.79
Claudio Pizarro 14,,3'17,-,-,-,-,-,-,1,-,-,-,-,-,1,,1,1,0,0,1,1,2,2,1
Total passes received:,,,18,132 108 100,,,26,65,75,44,111,56,110,5,13,1,46,58,620 645 198 223,,,,864,926,0.93
,,,,,,,,,,,,,,,,,,,,,,,,23:30:58CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,30 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
