Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 30 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - City of Manchester Stadium - Manchester,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City FC,,,,,,,,,,1 - 1,,,,,,,,AS Roma,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,10,15,16,21,22,25,26,42,7,18,35,PC,PA,PC,PA,PC,PA,PC,PA,%
Joe Hart,1,95'16,,7,1,2,-,-,1,2,-,6,1,-,-,-,4,6,14,14,2,2,20,22,0.91
Vincent Kompany,4,95'16,5,,20,2,3,1,3,-,3,19,8,-,1,-,6,8,51,52,8,8,65,68,0.96
Pablo Zabaleta,5,95'16,-,8,,4,6,2,14,-,3,2,9,2,-,-,2,2,32,35,16,21,50,58,0.86
Edin Džeko,10,57'00,-,-,-,,6,3,6,2,-,-,-,-,-,-,1,1,11,15,5,6,17,22,0.77
Jesús Navas,15,45'06,1,2,9,2,,1,5,-,1,1,1,-,-,-,2,2,14,16,7,10,23,28,0.82
Sergio Agüero,16,83'46,-,-,-,2,-,,7,1,2,1,1,1,-,-,0,0,8,10,7,7,15,17,0.88
David Silva,21,95'16,-,8,4,6,7,4,,8,6,7,15,6,4,1,3,3,50,52,23,25,76,80,0.95
Gaël Clichy,22,95'16,1,1,-,2,-,2,8,,4,5,3,3,3,-,1,1,27,30,4,5,32,36,0.89
Fernandinho,25,95'16,-,4,4,1,2,1,11,4,,5,13,3,5,1,1,1,38,38,15,16,54,55,0.98
Martín Demichelis,26,95'16,2,15,5,1,-,1,10,13,7,,8,2,6,1,6,6,54,57,11,11,71,74,0.96
Yaya Touré,42,95'16,1,13,7,3,3,2,10,4,11,7,,4,-,1,8,12,42,45,16,19,66,76,0.87
James Milner,7,50'10,-,1,1,2,-,-,-,1,1,1,4,,2,2,1,1,12,13,2,4,15,18,0.83
Frank Lampard 18,,38'15,-,4,1,-,-,-,1,1,2,2,4,2,,-,0,0,13,15,4,5,17,20,0.85
Stevan Jovetić 35,,11'30,-,-,1,-,-,-,1,1,1,-,1,1,-,,0,1,5,5,1,1,6,7,0.86
Total passes received:,,,10,63,53,27,27,17,77,37,41,56,68,24,21,6,35,44,371 397 121 140,,,,527,581,0.91
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,28,2,3,4,10,13,15,20,24,27,44,7,25,35,PC,PA,PC,PA,PC,PA,PC,PA,%
Łukasz Skorupski,28,95'16,,9,-,-,-,2,-,2,1,-,4,-,-,-,2,4,15,16,1,1,18,21,0.86
Mapou Yanga-Mbiwa,2,95'16,6,,2,2,1,-,3,7,2,-,-,-,-,-,0,0,20,21,3,3,23,24,0.96
Ashley Cole,3,95'16,1,3,,6,2,-,3,2,8,2,1,-,-,-,2,2,18,18,8,9,28,29,0.97
Radja Nainggolan,4,95'16,-,4,9,,4,1,7,5,2,5,-,-,-,-,4,6,26,26,7,8,37,40,0.92
Francesco Totti,10,71'41,-,1,3,2,,3,5,1,5,1,-,-,-,-,6,8,7,14,8,9,21,31,0.68
Maicon,13,88'27,-,-,1,3,3,,7,5,-,5,2,1,-,-,2,3,11,13,14,15,27,31,0.87
Miralem Pjanić,15,95'16,1,2,1,9,6,9,,15,2,3,3,1,-,-,6,6,27,31,19,21,52,58,0.9
Seydou Keita,20,95'16,1,4,7,8,-,4,14,,4,3,2,-,-,-,3,5,29,30,15,15,47,50,0.94
Alessandro Florenzi,24,82'16,-,2,2,3,7,2,1,2,,4,-,-,-,-,0,1,12,14,11,12,23,27,0.85
Gervinho,27,95'16,-,-,-,2,1,1,7,5,-,,-,-,-,-,0,0,8,10,8,9,16,19,0.84
Kostas Manolas,44,95'16,4,-,-,1,-,6,1,2,1,-,,-,-,-,1,1,11,11,3,3,15,15,1
Juan Manuel Iturbe,7,23'34,-,-,-,-,-,2,-,-,-,-,-,,-,-,0,0,2,3,0,1,2,4,0.5
José Holebas 25,,12'59,-,-,-,-,-,-,-,-,-,1,-,-,,-,0,0,1,3,0,0,1,3,0.33
Vasilis Torosidis 35,,6'49,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,13,25,25,36,24,30,48,46,25,24,12,2,0,0,26,36,187 210,,97,106,310,352,0.88
,,,,,,,,,,,,,,,,,,,,,,,,00:52:18CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,01 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
