Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 30 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Estádio José Alvalade - Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
Sporting Clube de Portugal,,,,,,,,,,0 - 1,,,,,,,,Chelsea FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,9,14,17,18,23,29,33,41,77,10,11,26,PC,PA,PC,PA,PC,PA,PC,PA,%
Rui Patrício,1,94'19,,4,1,2,1,-,3,2,1,2,-,-,1,2,6,6,12,12,1,1,19,19,1
Maurício,3,63'18,2,,-,3,2,-,1,1,-,3,-,-,-,-,0,0,9,9,3,3,12,12,1
Islam Slimani,9,94'19,-,-,,1,3,1,3,-,-,1,4,-,-,-,0,0,6,6,7,8,13,14,0.93
William Carvalho,14,94'19,2,-,4,,6,4,7,9,2,6,6,1,1,2,5,5,34,35,11,14,50,54,0.93
João Mário,17,94'19,1,-,2,3,,12,4,4,5,4,5,1,-,-,3,3,25,25,13,14,41,42,0.98
André Carrillo,18,80'32,-,1,3,2,4,,4,1,-,7,1,-,-,-,0,0,11,12,12,15,23,27,0.85
Adrien Silva,23,80'42,-,-,2,9,3,5,,1,4,3,4,-,-,1,4,4,21,26,7,7,32,37,0.86
Naby Sarr,29,94'19,5,1,1,5,1,-,1,,6,-,4,-,-,-,2,2,20,20,2,2,24,24,1
Jonathan Silva,33,94'19,1,-,-,5,6,3,4,2,,-,2,-,-,-,2,2,12,12,9,9,23,23,1
Cédric,41,94'19,1,2,1,4,3,4,2,-,-,,3,-,-,-,2,3,13,16,5,5,20,24,0.83
Nani,77,94'19,-,-,3,4,4,3,5,-,3,-,,-,-,-,3,3,13,17,6,7,22,27,0.81
Fredy Montero 10,,13'37,-,-,-,1,-,-,-,-,-,-,-,,-,-,0,1,1,2,0,1,1,4,0.25
Diego Capel 11,,13'47,-,-,-,-,-,-,-,-,3,-,-,-,,-,0,0,2,2,1,1,3,3,1
Paulo Oliveira 26,,31'00,1,-,-,1,-,-,-,2,-,1,-,-,-,,2,4,2,3,1,1,5,8,0.62
Total passes received:,,,13,8,17,40,33,32,34,22,24,27,29,2,2,5,29,33,181 197,,78,88,288,318,0.91
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,3,4,8,10,14,19,21,24,26,12,17,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Thibaut Courtois,13,94'19,,1,2,1,-,-,-,-,1,2,1,-,-,-,2,2,6,6,0,0,8,8,1
Branislav Ivanović,2,94'19,-,,-,8,1,6,3,3,4,2,-,-,1,1,3,3,8,9,18,18,29,30,0.97
Filipe Luís,3,94'19,-,-,,1,2,6,3,4,5,1,6,3,-,-,3,3,15,17,13,13,31,33,0.94
Cesc Fàbregas,4,94'19,1,2,4,,6,8,9,6,12,2,3,2,2,3,8,10,39,42,13,14,60,66,0.91
Oscar,8,70'43,-,-,1,-,,3,1,7,1,2,-,-,-,-,2,2,10,10,3,6,15,18,0.83
Eden Hazard,10,84'07,-,3,3,6,2,,7,2,4,-,1,1,-,-,1,2,18,20,10,11,29,33,0.88
André Schürrle,14,57'27,-,4,-,5,2,2,,-,3,3,-,-,-,-,1,2,12,14,6,8,19,24,0.79
Diego Costa,19,94'19,-,2,3,6,1,2,1,,-,-,1,-,-,2,1,1,9,10,8,8,18,19,0.95
Nemanja Matić,21,94'19,-,2,8,6,1,8,3,1,,2,5,3,-,3,5,8,23,26,14,15,42,49,0.86
Gary Cahill,24,94'19,2,3,1,4,-,1,-,-,-,,5,-,-,-,3,4,12,14,1,1,16,19,0.84
John Terry,26,94'19,2,-,8,6,-,1,-,1,4,4,,-,-,-,3,5,18,18,5,5,26,28,0.93
John Obi Mikel 12,,23'36,-,-,1,2,-,2,-,-,4,-,1,,-,2,0,0,8,9,4,4,12,13,0.92
Mohamed Salah 17,,10'11,-,-,-,-,-,-,-,1,1,-,-,-,,-,0,0,1,1,1,2,2,3,0.67
Willian 22,,36'52,-,3,1,1,-,1,-,-,5,-,-,2,-,,0,1,10,10,3,3,13,14,0.93
Total passes received:,,,5,20,32,46,15,40,27,25,44,18,23,11,3,11,32,43,189 206,,99,108,320,357,0.9
,,,,,,,,,,,,,,,,,,,,,,,,02:45:21CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,01 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
