Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 30 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Arena Lviv - Lviv,,,,,,,,,,,,,,,,,,,,,,,,,
FC Shakhtar Donetsk,,,,,,,,,,2 - 2,,,,,,,,FC Porto,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,30,5,6,9,17,20,28,29,33,44,66,10,77,PC,PA,PC,PA,PC,PA,PC,PA,%,
Andriy Pyatov,30,96'12,,11,-,1,-,-,-,-,-,4,2,-,-,4,4,13,13,1,1,18,18,1,
Olexandr Kucher,5,96'12,7,,4,1,4,1,1,1,10,6,2,-,-,4,4,25,27,8,8,37,39,0.95,
Taras Stepanenko,6,96'12,-,3,,2,2,2,2,1,-,3,5,-,-,0,1,12,15,8,9,20,25,0.8,
Luiz Adriano,9,96'12,-,-,1,,-,2,1,1,-,1,-,-,1,1,1,5,6,1,1,7,8,0.88,
Fernando,17,96'12,1,3,1,-,,1,1,1,4,3,2,1,-,3,4,12,14,3,4,18,22,0.82,
Douglas Costa,20,80'14,-,1,1,-,3,,6,1,2,-,-,-,-,1,2,6,7,7,7,14,16,0.88,
Taison,28,76'09,-,1,1,-,2,3,,1,2,2,3,-,-,5,7,6,8,4,5,15,20,0.75,
Alex Teixeira,29,96'12,-,1,-,-,1,1,-,,2,-,2,-,2,0,0,7,8,2,4,9,12,0.75,
Darijo Srna,33,96'12,1,4,1,2,2,3,-,1,,3,-,-,-,3,4,14,14,0,1,17,19,0.89,
Yaroslav Rakitskiy,44,96'12,5,5,1,-,2,1,2,-,-,,4,-,-,0,3,19,20,1,1,20,24,0.83,
Márcio Azevedo,66,96'12,-,2,1,1,1,1,4,2,-,5,,2,-,2,3,16,18,1,1,19,22,0.86,
Bernard 10,,15'58,-,-,1,1,-,-,-,-,-,-,-,,-,0,1,1,2,1,2,2,5,0.4,
Ilsinho 77,,20'03,-,-,-,-,-,-,-,-,-,-,-,2,,0,0,2,2,0,1,2,3,0.67,
Total passes received:,,,14,31,12,8,17,15,17,9,20,27,20,5,3,23,34,138 154,,37,45,198,233,0.85,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,3,4,5,8,11,16,26,30,99,9,10,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Fabiano,12,96'12,,6,3,6,2,-,-,1,1,-,-,-,-,-,5,7,14,14,0,0,19,21,0.9
Danilo,2,96'12,-,,2,8,7,3,10,10,2,11,3,-,5,-,7,12,37,41,17,17,61,70,0.87
Bruno Martins Indi,3,96'12,5,3,,2,4,-,1,4,14,7,-,-,3,-,1,2,38,39,4,4,43,45,0.96
Maicon,4,96'12,3,10,11,,1,2,2,4,3,4,1,1,2,-,9,10,30,31,5,5,44,46,0.96
Iván Marcano,5,66'22,-,2,4,5,,3,2,5,4,5,3,-,-,-,5,5,18,20,10,10,33,35,0.94
Yacine Brahimi,8,78'41,-,3,1,-,1,,2,11,5,9,2,-,1,-,1,1,25,27,9,10,35,38,0.92
Cristian Tello,11,96'12,-,10,-,-,3,2,,14,2,6,1,1,6,-,2,2,28,33,15,16,45,51,0.88
Hector Herrera,16,96'12,-,11,4,6,3,11,9,,7,11,4,1,11,1,9,12,53,55,17,17,79,84,0.94
Alex Sandro,26,96'12,6,3,6,2,3,10,6,6,,10,1,3,-,-,10,11,34,37,12,12,56,60,0.93
Óliver Torres,30,96'12,-,11,3,3,3,8,5,12,17,,5,1,3,-,7,8,45,48,19,20,71,76,0.93
Vincent Aboubakar,99,66'26,-,2,-,-,1,2,6,2,-,2,,-,-,-,2,2,7,9,6,7,15,18,0.83
Jackson Martínez,9,29'46,-,-,-,-,-,-,1,-,1,2,-,,1,1,1,1,2,2,3,3,6,6,1
Juan Quintero 10,,29'50,-,9,1,1,-,1,3,3,3,1,-,-,,3,4,4,16,17,5,7,25,28,0.89
Adrián López 18,,17'31,-,-,-,-,-,-,-,3,-,-,-,-,-,,0,0,0,0,3,3,3,3,1
Total passes received:,,,14,70,35,33,28,42,47,75,59,68,20,7,32,5,63,77,347 373 125 131,,,,535,581,0.92
,,,,,,,,,,,,,,,,,,,,,,,,01:59:37CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,01 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
