Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 25 November 2015,,,,,,,,,,,,,,,
GROUP B - Old Trafford - Manchester,,,,,,,,,,,,,,,
,Manchester United FC,,,,,,0 - 0,,,,,PSV Eindhoven,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,David de Gea,1,"94'15""",,,,,,,,1,,,,
,Marcos Rojo,5,"94'15""",,,,,,,1,1,,,,
,Memphis Depay,7,"59'15""",,2,,,,,,,,,,
,Anthony Martial,9,"94'15""",,2,,,,,2,2,,,,
,Wayne Rooney,10,"94'15""",,,,,,1,,1,,,,
,Chris Smalling,12,"94'15""",,,,,,1,,1,,,,
,Daley Blind,17,"94'15""",,,,,,,1,1,,,,
,Morgan Schneiderlin,28,"94'15""",,1,,,1,,4,1,,,,
,Bastian Schweinsteiger,31,"59'04""",,1,,,,,,1,1,,,
,Jesse Lingard,35,"94'15""",,1,,,2,1,1,3,,1,,
,Matteo Darmian,36,"85'18""",,,,,,,1,,,,,
,Sergio Romero,20,,,,,,,,,,,,,
,Juan Mata,8,"8'57""",,,,,,,1,,,,,
,Ashley Young,18,"35'00""",,,,,,,,1,,,,
,James Wilson,19,,,,,,,,,,,,,
,Marouane Fellaini,27,"35'11""",,,,,,,2,,1,,,
,Paddy McNair,33,,,,,,,,,,,,,
,Andreas Pereira,44,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'15""",,,,,,,,,,,,1,Jeroen Zoet
,,"94'15""",,,,,1,,1,,,,,3,Héctor Moreno
,,"94'15""",,,,,,,2,,,1,,4,Santiago Arias
,,"94'15""",,,,,,,1,2,,,,5,Jeffrey Bruma
,,"94'15""",,3,,,,1,,,,,,6,Davy Pröpper
,,"94'15""",,,,,1,,5,1,,1,,9,Luuk de Jong
,,"17'50""",,,,,,,,,,,,11,Luciano Narsingh
,,"94'15""",,,,,,,2,4,,,,18,Andrés Guardado
,,"94'15""",,,,,1,,,2,,,,19,Jürgen Locadia
,,"94'15""",,,,,,,,1,,,,20,Joshua Brenet
,,"61'08""",,1,,,,,2,2,,,,29,Jorrit Hendrix
,,,,,,,,,,,,,,22,Remko Pasveer
,,"33'08""",,,,,,,,1,,,,2,Nicolas Isimat-Mirin
,,"76'25""",,,,,,,,,,,,7,Gastón Pereiro
,,,,,,,,,,,,,,8,Stijn Schaars
,,,,,,,,,,,,,,10,Adam Maher
,,,,,,,,,,,,,,14,Simon Poulsen
,,,,,,,,,,,,,,27,Steven Bergwijn
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,00:32:53CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,26 Nov 2015
UEFA Media Information,,,,,,,,,,,,,,,
