Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 24 November 2015,,,,,,,,,,,,,,,
GROUP G - Estádio do Dragão - Porto,,,,,,,,,,,,,,,
,FC Porto,,,,,,0 - 2,,,,,FC Dynamo Kyiv,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Iker Casillas,12,"94'04""",,,,,,,,,,,,
,Maxi Pereira,2,"46'02""",,,,,,,,2,,,,
,Bruno Martins Indi,3,"94'04""",,,,,,,1,4,,,,
,Iván Marcano,5,"94'04""",,,,,,,2,3,,,,
,Rúben Neves,6,"94'04""",,1,,,,,,1,,,,
,Yacine Brahimi,8,"67'31""",,,,,1,,1,4,1,,,
,Vincent Aboubakar,9,"94'04""",,,,,,,3,,,,,
,Cristian Tello,11,"94'04""",,1,,,1,,,,,,,
,Miguel Layún,21,"94'04""",,,,,,,3,2,,,,
,Danilo,22,"94'04""",,1,,,1,,1,1,,,,
,Giannelli Imbula,25,"67'41""",,,,,1,,3,2,,,,
,Helton,1,,,,,,,,,,,,,
,Pablo Osvaldo,10,"26'33""",,,,,,,3,,,,,
,Evandro,15,,,,,,,,,,,,,
,Hector Herrera,16,,,,,,,,,,,,,
,Jesús Corona,17,"26'23""",,,,,,,,,,,,
,André André,20,"48'02""",,,,1,1,,,4,,,,
,Alberto Bueno,23,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'04""",,,,,,,,,,,,1,Olexandr Shovkovskiy
,,"94'04""",,,,,,,3,1,,1,,2,Danilo Silva
,,"94'04""",,,,,,,,,,,,5,Antunes
,,"94'04""",,,,,,,,,,,,6,Aleksandar Dragovic
,,"94'04""",1,2,,,,,2,1,1,,,10,Andriy Yarmolenko
,,"86'46""",,,,,4,,4,8,,,,11,Júnior Moraes
,,"84'47""",,,,,1,,4,1,,1,,16,Serhiy Sydorchuk
,,"94'04""",,,,,,,1,2,,,,17,Serhiy Rybalka
,,"94'04""",,1,1,,,1,6,,,1,,19,Denys Garmash
,,"78'20""",1,3,,,2,,1,,,,,25,Derlis González
,,"94'04""",,,,,,,,2,,,,34,Yevhen Khacheridi
,,,,,,,,,,,,,,23,Olexandr Rybka
,,,,,,,,,,,,,,4,Miguel Veloso
,,,,,,,,,,,,,,8,Radosav Petrović
,,,,,,,,,,,,,,20,Oleh Gusev
,,"9'17""",,,,,,,,,,,,29,Vitaliy Buyalskiy
,,"15'44""",,,,,1,1,,,,,,90,Younes Belhanda
,,"7'18""",,,,,,,2,,,,,91,Łukasz Teodorczyk
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,01:55:09CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,25 Nov 2015
UEFA Media Information,,,,,,,,,,,,,,,
