Id;Label
11;"Marlos"
10;"Bernard "
21;"Olexandr Gladkiy"
17;"Maksym Malyshev "
33;"Darijo Srna"
44;"Yaroslav Rakitskiy"
30;"Andriy Pyatov"
28;"Taison"
29;"Alex Teixeira"
74;"Viktor Kovalenko "
5;"Olexandr Kucher"
66;"Márcio Azevedo"
6;"Taras Stepanenko"
8;"Fred"
