Source;Target;Weight
10;22;1
10;44;1
10;77;5
10;88;2
10;89;6
10;6;1
10;9;3
10;8;2
77;10;8
77;22;1
77;33;1
77;44;2
77;88;7
77;89;2
77;5;2
77;6;2
77;8;1
22;33;5
22;88;3
22;89;2
22;5;1
22;9;2
22;8;5
33;10;1
33;15;2
33;22;4
33;44;4
33;1;2
33;88;2
33;89;3
33;9;1
33;8;5
44;22;4
44;33;6
44;88;5
44;5;4
44;6;1
44;9;2
44;8;4
15;9;1
15;8;5
1;77;1
1;44;2
1;22;2
1;6;1
88;10;5
88;22;7
88;33;6
88;44;5
88;77;8
88;89;2
88;5;10
88;6;4
88;8;7
89;77;1
89;8;4
89;88;2
89;22;2
89;10;4
5;10;3
5;77;6
5;33;2
5;44;1
5;1;3
5;88;1
5;89;1
5;6;3
5;8;1
6;10;7
6;22;1
6;44;1
6;77;3
6;88;5
6;5;1
6;8;1
9;33;1
9;10;1
9;22;1
9;6;3
8;10;3
8;15;5
8;22;4
8;33;7
8;44;2
8;77;3
8;88;7
8;89;1
8;5;2
8;6;2
8;9;1
