MatchID: 2014307
Position   AS Roma              PFC CSKA Moskva
MID-DEF    123                  86
MID-MID    134                  79
MatchID: 2014372
Position   Juventus             Malmö FF
GK-GK      0                    0
GK-STR     1                    7
GK-DEF     24                   8
GK-MID     6                    5
STR-GK     0                    0
STR-STR    3                    4
STR-DEF    12                   5
STR-MID    33                   20
DEF-GK     6                    11
DEF-STR    19                   14
DEF-DEF    21                   27
DEF-MID    105                  54
MID-GK     3                    4
MID-STR    46                   22
MID-DEF    89                   59
MID-MID    139                  36
MatchID: 2014373
Position   Liverpool FC         PFC Ludogorets 1945
GK-GK      0                    0
GK-STR     5                    1
GK-DEF     9                    10
GK-MID     4                    6
STR-GK     0                    0
STR-STR    0                    1
STR-DEF    5                    21
STR-MID    18                   33
DEF-GK     13                   4
DEF-STR    5                    28
DEF-DEF    38                   83
DEF-MID    56                   72
MID-GK     1                    1
MID-STR    12                   36
MID-DEF    61                   66
MID-MID    130                  78
MatchID: 2014374
Position   FC Basel 1893        Real Madrid CF
GK-GK      0                    0
GK-STR     2                    0
GK-DEF     10                   11
GK-MID     3                    2
STR-GK     0                    0
STR-STR    12                   11
STR-DEF    13                   12
STR-MID    37                   24
DEF-GK     11                   5
DEF-STR    29                   8
DEF-DEF    33                   48
DEF-MID    56                   87
MID-GK     0                    3
MID-STR    39                   45
MID-DEF    58                   83
MID-MID    63                   89
MatchID: 2014375
Position   AS Monaco FC         Bayer 04 Leverkusen
GK-GK      0                    0
GK-STR     5                    3
GK-DEF     5                    10
GK-MID     4                    1
STR-GK     0                    0
STR-STR    4                    11
STR-DEF    7                    15
STR-MID    15                   37
DEF-GK     12                   12
DEF-STR    15                   25
DEF-DEF    25                   48
DEF-MID    21                   84
MID-GK     1                    2
MID-STR    26                   53
MID-DEF    33                   54
MID-MID    31                   86
MatchID: 2014376
Position   Football Club Zenit  SL Benfica
GK-GK      0                    0
GK-STR     3                    1
GK-DEF     5                    11
GK-MID     4                    1
STR-GK     0                    0
STR-STR    5                    9
STR-DEF    9                    15
STR-MID    26                   26
DEF-GK     6                    6
DEF-STR    19                   16
DEF-DEF    41                   49
DEF-MID    33                   66
MID-GK     1                    1
MID-STR    33                   22
MID-DEF    41                   44
MID-MID    42                   27
MatchID: 2014377
Position   Galatasaray AŞ     RSC Anderlecht
GK-GK      0                    0
GK-STR     0                    6
GK-DEF     10                   5
GK-MID     4                    4
STR-GK     0                    4
STR-STR    0                    42
STR-DEF    6                    34
STR-MID    9                    44
DEF-GK     4                    5
DEF-STR    8                    42
DEF-DEF    30                   17
DEF-MID    96                   23
MID-GK     2                    0
MID-STR    13                   46
MID-DEF    84                   29
MID-MID    133                  18
MatchID: 2014378
Position   Arsenal FC           Borussia Dortmund
GK-GK      0                    0
GK-STR     3                    3
GK-DEF     4                    20
GK-MID     2                    3
STR-GK     0                    0
STR-STR    5                    9
STR-DEF    10                   21
STR-MID    25                   34
DEF-GK     16                   20
DEF-STR    18                   30
DEF-DEF    34                   55
DEF-MID    56                   83
MID-GK     0                    7
MID-STR    24                   37
MID-DEF    75                   90
MID-MID    56                   56
MatchID: 2014379
Position   AS Roma              PFC CSKA Moskva
GK-GK      0                    0
GK-STR     2                    0
GK-DEF     8                    9
GK-MID     5                    1
STR-GK     0                    1
STR-STR    28                   2
STR-DEF    11                   17
STR-MID    68                   15
DEF-GK     5                    9
DEF-STR    19                   15
DEF-DEF    31                   61
DEF-MID    92                   81
MID-GK     4                    0
MID-STR    79                   29
MID-DEF    77                   53
MID-MID    120                  88
MatchID: 2014380
Position   FC Bayern München  Manchester City FC
GK-GK      0                    0
GK-STR     3                    0
GK-DEF     27                   10
GK-MID     9                    3
STR-GK     0                    0
STR-STR    12                   2
STR-DEF    29                   6
STR-MID    34                   15
DEF-GK     25                   9
DEF-STR    43                   17
DEF-DEF    60                   77
DEF-MID    118                  100
MID-GK     9                    3
MID-STR    34                   19
MID-DEF    113                  93
MID-MID    92                   103
MatchID: 2014381
Position   APOEL FC             FC Barcelona
GK-GK      0                    0
GK-STR     0                    2
GK-DEF     3                    19
GK-MID     3                    2
STR-GK     0                    2
STR-STR    5                    29
STR-DEF    9                    83
STR-MID    17                   42
DEF-GK     5                    15
DEF-STR    16                   120
DEF-DEF    6                    232
DEF-MID    31                   88
MID-GK     3                    0
MID-STR    15                   32
MID-DEF    23                   99
MID-MID    28                   11
MatchID: 2014382
Position   AFC Ajax             Paris Saint-Germain
GK-GK      0                    0
GK-STR     1                    2
GK-DEF     17                   8
GK-MID     2                    4
STR-GK     0                    0
STR-STR    35                   11
STR-DEF    36                   29
STR-MID    48                   31
DEF-GK     9                    12
DEF-STR    62                   26
DEF-DEF    80                   64
DEF-MID    69                   73
MID-GK     1                    4
MID-STR    48                   55
MID-DEF    76                   65
MID-MID    51                   42
MatchID: 2014383
Position   Chelsea FC           FC Schalke 04
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     9                    5
GK-MID     8                    10
STR-GK     0                    0
STR-STR    1                    12
STR-DEF    7                    31
STR-MID    20                   30
DEF-GK     6                    10
DEF-STR    4                    33
DEF-DEF    80                   72
DEF-MID    162                  109
MID-GK     1                    6
MID-STR    30                   32
MID-DEF    145                  101
MID-MID    170                  54
MatchID: 2014384
Position   NK Maribor           Sporting Clube de Portugal
GK-GK      0                    0
GK-STR     0                    3
GK-DEF     10                   6
GK-MID     5                    1
STR-GK     0                    0
STR-STR    9                    17
STR-DEF    7                    26
STR-MID    31                   34
DEF-GK     10                   6
DEF-STR    7                    45
DEF-DEF    55                   73
DEF-MID    55                   51
MID-GK     3                    1
MID-STR    24                   34
MID-DEF    57                   64
MID-MID    77                   33
MatchID: 2014385
Position   FC BATE Borisov      FC Porto
GK-GK      0                    0
GK-STR     0                    0
GK-DEF     2                    8
GK-MID     4                    0
STR-GK     0                    0
STR-STR    0                    4
STR-DEF    1                    24
STR-MID    9                    28
DEF-GK     18                   10
DEF-STR    2                    25
DEF-DEF    16                   124
DEF-MID    20                   106
MID-GK     1                    2
MID-STR    12                   38
MID-DEF    30                   105
MID-MID    62                   99
MatchID: 2014386
Position   Athletic Club        FC Shakhtar Donetsk
GK-GK      0                    0
GK-STR     1                    2
GK-DEF     2                    34
GK-MID     6                    9
STR-GK     0                    0
STR-STR    2                    7
STR-DEF    1                    26
STR-MID    20                   16
DEF-GK     6                    27
DEF-STR    4                    27
DEF-DEF    7                    87
DEF-MID    44                   55
MID-GK     6                    3
MID-STR    31                   14
MID-DEF    31                   60
MID-MID    115                  47
MatchID: 2014387
Position   AS Roma              Manchester City FC
GK-GK      0                    0
GK-STR     0                    5
GK-DEF     18                   5
GK-MID     1                    2
STR-GK     0                    0
STR-STR    19                   0
STR-DEF    31                   8
STR-MID    43                   21
DEF-GK     12                   4
DEF-STR    49                   12
DEF-DEF    54                   37
DEF-MID    82                   74
MID-GK     4                    1
MID-STR    45                   18
MID-DEF    83                   66
MID-MID    63                   92
MatchID: 2014388
Position   FC Bayern München  PFC CSKA Moskva
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     23                   10
GK-MID     9                    8
STR-GK     0                    2
STR-STR    5                    4
STR-DEF    13                   4
STR-MID    43                   17
DEF-GK     15                   9
DEF-STR    13                   8
DEF-DEF    35                   27
DEF-MID    148                  38
MID-GK     4                    1
MID-STR    75                   23
MID-DEF    112                  33
MID-MID    269                  58
MatchID: 2014389
Position   FC Barcelona         Paris Saint-Germain
GK-GK      0                    0
GK-STR     0                    3
GK-DEF     19                   4
GK-MID     3                    1
STR-GK     0                    0
STR-STR    63                   6
STR-DEF    53                   13
STR-MID    47                   37
DEF-GK     11                   6
DEF-STR    63                   21
DEF-DEF    147                  44
DEF-MID    60                   72
MID-GK     4                    1
MID-STR    68                   32
MID-DEF    45                   64
MID-MID    30                   83
MatchID: 2014390
Position   AFC Ajax             APOEL FC
GK-GK      0                    0
GK-STR     1                    1
GK-DEF     19                   6
GK-MID     4                    4
STR-GK     0                    0
STR-STR    22                   0
STR-DEF    39                   1
STR-MID    40                   12
DEF-GK     16                   10
DEF-STR    72                   10
DEF-DEF    267                  37
DEF-MID    83                   46
MID-GK     1                    2
MID-STR    32                   7
MID-DEF    94                   61
MID-MID    25                   66
MatchID: 2014391
Position   Chelsea FC           Sporting Clube de Portugal
GK-GK      0                    0
GK-STR     7                    4
GK-DEF     14                   5
GK-MID     2                    1
STR-GK     2                    2
STR-STR    6                    32
STR-DEF    19                   29
STR-MID    33                   44
DEF-GK     23                   4
DEF-STR    27                   43
DEF-DEF    74                   26
DEF-MID    70                   37
MID-GK     3                    0
MID-STR    44                   58
MID-DEF    68                   47
MID-MID    68                   49
MatchID: 2014392
Position   FC Schalke 04        NK Maribor
GK-GK      0                    0
GK-STR     1                    0
GK-DEF     10                   8
GK-MID     5                    2
STR-GK     0                    0
STR-STR    4                    0
STR-DEF    9                    3
STR-MID    18                   26
DEF-GK     8                    4
DEF-STR    17                   15
DEF-DEF    124                  40
DEF-MID    93                   66
MID-GK     4                    1
MID-STR    25                   17
MID-DEF    73                   73
MID-MID    19                   121
MatchID: 2014393
Position   FC Porto             FC Shakhtar Donetsk
GK-GK      0                    0
GK-STR     1                    0
GK-DEF     20                   8
GK-MID     2                    8
STR-GK     3                    0
STR-STR    98                   1
STR-DEF    59                   2
STR-MID    56                   13
DEF-GK     18                   12
DEF-STR    81                   6
DEF-DEF    79                   18
DEF-MID    33                   38
MID-GK     2                    4
MID-STR    55                   8
MID-DEF    44                   50
MID-MID    17                   91
MatchID: 2014394
Position   Athletic Club        FC BATE Borisov
GK-GK      0                    0
GK-STR     2                    2
GK-DEF     13                   5
GK-MID     3                    2
STR-GK     0                    0
STR-STR    1                    1
STR-DEF    6                    3
STR-MID    15                   14
DEF-GK     15                   10
DEF-STR    5                    4
DEF-DEF    95                   7
DEF-MID    100                  26
MID-GK     4                    2
MID-STR    19                   20
MID-DEF    76                   23
MID-MID    88                   70
MatchID: 2014395
Position   Malmö FF           Olympiacos FC
GK-GK      0                    0
GK-STR     1                    0
GK-DEF     15                   6
GK-MID     6                    7
STR-GK     0                    0
STR-STR    0                    0
STR-DEF    6                    7
STR-MID    9                    12
DEF-GK     10                   12
DEF-STR    13                   6
DEF-DEF    23                   55
DEF-MID    56                   66
MID-GK     2                    0
MID-STR    10                   14
MID-DEF    70                   67
MID-MID    56                   43
MatchID: 2014396
Position   Club Atlético de Madrid Juventus
GK-GK      0                    0
GK-STR     1                    1
GK-DEF     4                    11
GK-MID     3                    2
STR-GK     0                    0
STR-STR    0                    4
STR-DEF    2                    24
STR-MID    4                    26
DEF-GK     4                    11
DEF-STR    2                    23
DEF-DEF    16                   173
DEF-MID    49                   145
MID-GK     0                    1
MID-STR    5                    33
MID-DEF    53                   143
MID-MID    60                   48
MatchID: 2014397
Position   FC Basel 1893        Liverpool FC
GK-GK      0                    0
GK-STR     3                    4
GK-DEF     8                    17
GK-MID     3                    3
STR-GK     0                    0
STR-STR    21                   0
STR-DEF    6                    1
STR-MID    42                   5
DEF-GK     4                    12
DEF-STR    18                   1
DEF-DEF    18                   69
DEF-MID    25                   103
MID-GK     1                    2
MID-STR    55                   6
MID-DEF    21                   85
MID-MID    60                   178
MatchID: 2014398
Position   PFC Ludogorets 1945  Real Madrid CF
GK-GK      0                    0
GK-STR     2                    0
GK-DEF     12                   15
GK-MID     6                    7
STR-GK     1                    0
STR-STR    2                    8
STR-DEF    14                   13
STR-MID    25                   44
DEF-GK     3                    8
DEF-STR    17                   17
DEF-DEF    15                   42
DEF-MID    82                   98
MID-GK     2                    1
MID-STR    28                   75
MID-DEF    69                   72
MID-MID    74                   163
MatchID: 2014399
Position   AS Monaco FC         Football Club Zenit
GK-GK      0                    0
GK-STR     3                    1
GK-DEF     2                    9
GK-MID     0                    3
STR-GK     0                    0
STR-STR    9                    3
STR-DEF    5                    6
STR-MID    24                   19
DEF-GK     3                    10
DEF-STR    10                   20
DEF-DEF    14                   65
DEF-MID    34                   83
MID-GK     1                    0
MID-STR    33                   31
MID-DEF    47                   77
MID-MID    58                   78
MatchID: 2014400
Position   Bayer 04 Leverkusen  SL Benfica
GK-GK      0                    0
GK-STR     1                    8
GK-DEF     7                    1
GK-MID     5                    6
STR-GK     0                    1
STR-STR    10                   64
STR-DEF    12                   23
STR-MID    32                   23
DEF-GK     13                   13
DEF-STR    10                   41
DEF-DEF    31                   24
DEF-MID    51                   23
MID-GK     3                    2
MID-STR    45                   44
MID-DEF    34                   13
MID-MID    57                   10
MatchID: 2014401
Position   Arsenal FC           Galatasaray AŞ
GK-GK      0                    0
GK-STR     4                    0
GK-DEF     19                   9
GK-MID     3                    4
STR-GK     1                    0
STR-STR    21                   3
STR-DEF    23                   17
STR-MID    66                   30
DEF-GK     17                   5
DEF-STR    33                   16
DEF-DEF    47                   40
DEF-MID    41                   74
MID-GK     1                    5
MID-STR    65                   31
MID-DEF    42                   84
MID-MID    35                   215
MatchID: 2014402
Position   Borussia Dortmund    RSC Anderlecht
GK-GK      0                    0
GK-STR     2                    1
GK-DEF     10                   6
GK-MID     2                    0
STR-GK     0                    0
STR-STR    8                    11
STR-DEF    23                   21
STR-MID    46                   19
DEF-GK     6                    11
DEF-STR    31                   37
DEF-DEF    76                   48
DEF-MID    114                  38
MID-GK     4                    2
MID-STR    56                   25
MID-DEF    108                  44
MID-MID    93                   26
MatchID: 2014403
Position   Chelsea FC           Paris Saint-Germain
GK-GK      0                    0
GK-STR     0                    2
GK-DEF     7                    11
GK-MID     3                    0
STR-GK     0                    0
STR-STR    0                    7
STR-DEF    2                    27
STR-MID    14                   20
DEF-GK     2                    8
DEF-STR    3                    40
DEF-DEF    49                   142
DEF-MID    96                   95
MID-GK     3                    1
MID-STR    15                   27
MID-DEF    90                   79
MID-MID    103                  24
MatchID: 2014404
Position   FC Barcelona         Manchester City FC
GK-GK      0                    0
GK-STR     2                    1
GK-DEF     12                   5
GK-MID     1                    3
STR-GK     0                    0
STR-STR    31                   3
STR-DEF    49                   5
STR-MID    53                   15
DEF-GK     7                    8
DEF-STR    67                   14
DEF-DEF    101                  46
DEF-MID    79                   53
MID-GK     2                    0
MID-STR    53                   26
MID-DEF    93                   57
MID-MID    35                   56
MatchID: 2014405
Position   Arsenal FC           AS Monaco FC
GK-GK      0                    0
GK-STR     1                    1
GK-DEF     10                   1
GK-MID     1                    1
STR-GK     0                    0
STR-STR    2                    6
STR-DEF    9                    21
STR-MID    25                   30
DEF-GK     7                    12
DEF-STR    19                   23
DEF-DEF    60                   55
DEF-MID    89                   41
MID-GK     1                    1
MID-STR    33                   27
MID-DEF    68                   54
MID-MID    69                   39
MatchID: 2014406
Position   FC Basel 1893        FC Porto
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     11                   14
GK-MID     4                    4
STR-GK     0                    1
STR-STR    3                    10
STR-DEF    2                    19
STR-MID    17                   28
DEF-GK     10                   15
DEF-STR    7                    34
DEF-DEF    32                   99
DEF-MID    46                   84
MID-GK     2                    2
MID-STR    22                   35
MID-DEF    38                   86
MID-MID    61                   72
MatchID: 2014407
Position   Bayer 04 Leverkusen  Club Atlético de Madrid
GK-GK      0                    0
GK-STR     2                    2
GK-DEF     8                    2
GK-MID     3                    1
STR-GK     0                    0
STR-STR    6                    0
STR-DEF    12                   3
STR-MID    45                   4
DEF-GK     14                   0
DEF-STR    22                   4
DEF-DEF    44                   7
DEF-MID    85                   27
MID-GK     2                    1
MID-STR    45                   11
MID-DEF    81                   23
MID-MID    76                   58
MatchID: 2014408
Position   Borussia Dortmund    Juventus
GK-GK      0                    0
GK-STR     1                    0
GK-DEF     2                    10
GK-MID     7                    6
STR-GK     0                    0
STR-STR    24                   5
STR-DEF    12                   8
STR-MID    42                   15
DEF-GK     7                    7
DEF-STR    23                   23
DEF-DEF    45                   67
DEF-MID    47                   60
MID-GK     3                    1
MID-STR    49                   18
MID-DEF    59                   64
MID-MID    69                   44
MatchID: 2014409
Position   FC Schalke 04        Real Madrid CF
GK-GK      0                    0
GK-STR     0                    3
GK-DEF     5                    13
GK-MID     4                    3
STR-GK     0                    0
STR-STR    2                    6
STR-DEF    10                   17
STR-MID    18                   21
DEF-GK     5                    9
DEF-STR    17                   28
DEF-DEF    25                   106
DEF-MID    44                   93
MID-GK     2                    1
MID-STR    16                   28
MID-DEF    48                   83
MID-MID    20                   28
MatchID: 2014410
Position   FC Bayern München  FC Shakhtar Donetsk
GK-GK      0                    0
GK-STR     2                    8
GK-DEF     27                   15
GK-MID     5                    2
STR-GK     0                    1
STR-STR    15                   3
STR-DEF    26                   10
STR-MID    25                   18
DEF-GK     27                   25
DEF-STR    32                   12
DEF-DEF    96                   55
DEF-MID    111                  40
MID-GK     2                    2
MID-STR    42                   19
MID-DEF    89                   53
MID-MID    78                   30
MatchID: 2014411
Position   Arsenal FC           AS Monaco FC
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     10                   3
GK-MID     4                    0
STR-GK     0                    0
STR-STR    0                    2
STR-DEF    17                   13
STR-MID    31                   21
DEF-GK     9                    5
DEF-STR    25                   14
DEF-DEF    91                   14
DEF-MID    124                  36
MID-GK     1                    1
MID-STR    46                   38
MID-DEF    97                   38
MID-MID    97                   45
MatchID: 2014412
Position   FC Basel 1893        FC Porto
GK-GK      0                    0
GK-STR     6                    2
GK-DEF     13                   7
GK-MID     7                    2
STR-GK     1                    1
STR-STR    16                   8
STR-DEF    4                    16
STR-MID    57                   24
DEF-GK     8                    13
DEF-STR    20                   26
DEF-DEF    40                   45
DEF-MID    39                   64
MID-GK     7                    3
MID-STR    56                   28
MID-DEF    46                   67
MID-MID    64                   94
MatchID: 2014413
Position   Chelsea FC           Paris Saint-Germain
GK-GK      0                    0
GK-STR     1                    2
GK-DEF     18                   9
GK-MID     6                    4
STR-GK     0                    0
STR-STR    2                    4
STR-DEF    9                    17
STR-MID    30                   27
DEF-GK     10                   7
DEF-STR    14                   21
DEF-DEF    82                   60
DEF-MID    112                  110
MID-GK     3                    2
MID-STR    41                   31
MID-DEF    90                   99
MID-MID    119                  152
MatchID: 2014414
Position   FC Barcelona         Manchester City FC
GK-GK      0                    0
GK-STR     1                    1
GK-DEF     16                   8
GK-MID     2                    7
STR-GK     0                    0
STR-STR    32                   0
STR-DEF    51                   2
STR-MID    37                   15
DEF-GK     11                   6
DEF-STR    71                   7
DEF-DEF    87                   28
DEF-MID    63                   53
MID-GK     1                    2
MID-STR    53                   24
MID-DEF    53                   55
MID-MID    4                    103
MatchID: 2014415
Position   FC Schalke 04        Real Madrid CF
GK-GK      0                    0
GK-STR     1                    1
GK-DEF     6                    13
GK-MID     10                   5
STR-GK     1                    0
STR-STR    5                    8
STR-DEF    5                    7
STR-MID    19                   38
DEF-GK     7                    12
DEF-STR    6                    21
DEF-DEF    20                   72
DEF-MID    77                   73
MID-GK     2                    1
MID-STR    29                   40
MID-DEF    64                   81
MID-MID    155                  70
MatchID: 2014416
Position   FC Bayern München  FC Shakhtar Donetsk
GK-GK      0                    0
GK-STR     0                    0
GK-DEF     18                   12
GK-MID     1                    2
STR-GK     1                    0
STR-STR    4                    0
STR-DEF    17                   6
STR-MID    24                   9
DEF-GK     9                    15
DEF-STR    18                   9
DEF-DEF    90                   27
DEF-MID    154                  22
MID-GK     3                    2
MID-STR    44                   6
MID-DEF    120                  31
MID-MID    113                  29
MatchID: 2014417
Position   Bayer 04 Leverkusen  Club Atlético de Madrid
GK-GK      0                    0
GK-STR     5                    2
GK-DEF     7                    0
GK-MID     0                    1
STR-GK     0                    0
STR-STR    6                    3
STR-DEF    7                    0
STR-MID    30                   18
DEF-GK     11                   3
DEF-STR    13                   8
DEF-DEF    29                   9
DEF-MID    47                   50
MID-GK     1                    0
MID-STR    26                   14
MID-DEF    36                   43
MID-MID    68                   81
MatchID: 2014418
Position   Borussia Dortmund    Juventus
GK-GK      0                    0
GK-STR     1                    0
GK-DEF     3                    22
GK-MID     1                    1
STR-GK     0                    0
STR-STR    4                    9
STR-DEF    8                    15
STR-MID    28                   20
DEF-GK     6                    5
DEF-STR    13                   24
DEF-DEF    63                   76
DEF-MID    88                   75
MID-GK     0                    3
MID-STR    31                   24
MID-DEF    89                   75
MID-MID    75                   43
MatchID: 2014419
Position   FC Barcelona         Paris Saint-Germain
GK-GK      0                    0
GK-STR     0                    0
GK-DEF     16                   4
GK-MID     5                    10
STR-GK     0                    0
STR-STR    23                   6
STR-DEF    48                   11
STR-MID    63                   25
DEF-GK     10                   7
DEF-STR    72                   20
DEF-DEF    127                  37
DEF-MID    100                  68
MID-GK     1                    3
MID-STR    71                   22
MID-DEF    110                  63
MID-MID    60                   71
MatchID: 2014420
Position   Club Atlético de Madrid Real Madrid CF
GK-GK      0                    0
GK-STR     7                    1
GK-DEF     1                    5
GK-MID     2                    3
STR-GK     0                    0
STR-STR    0                    13
STR-DEF    4                    17
STR-MID    15                   23
DEF-GK     2                    5
DEF-STR    4                    24
DEF-DEF    3                    48
DEF-MID    47                   117
MID-GK     0                    1
MID-STR    9                    31
MID-DEF    44                   99
MID-MID    98                   77
MatchID: 2014421
Position   FC Bayern München  FC Porto
GK-GK      0                    0
GK-STR     3                    1
GK-DEF     23                   7
GK-MID     3                    0
STR-GK     1                    0
STR-STR    4                    1
STR-DEF    12                   14
STR-MID    12                   13
DEF-GK     23                   13
DEF-STR    16                   16
DEF-DEF    157                  32
DEF-MID    109                  28
MID-GK     5                    1
MID-STR    23                   20
MID-DEF    98                   39
MID-MID    74                   33
MatchID: 2014422
Position   AS Monaco FC         Juventus
GK-GK      0                    0
GK-STR     3                    0
GK-DEF     12                   20
GK-MID     2                    8
STR-GK     0                    0
STR-STR    8                    10
STR-DEF    13                   27
STR-MID    19                   37
DEF-GK     8                    12
DEF-STR    21                   30
DEF-DEF    42                   65
DEF-MID    38                   112
MID-GK     0                    0
MID-STR    26                   47
MID-DEF    35                   93
MID-MID    33                   73
MatchID: 2014423
Position   FC Bayern München  FC Porto
GK-GK      0                    0
GK-STR     1                    2
GK-DEF     18                   9
GK-MID     3                    1
STR-GK     0                    0
STR-STR    12                   8
STR-DEF    16                   10
STR-MID    16                   37
DEF-GK     21                   9
DEF-STR    29                   20
DEF-DEF    108                  25
DEF-MID    66                   59
MID-GK     4                    1
MID-STR    26                   33
MID-DEF    68                   61
MID-MID    42                   81
MatchID: 2014424
Position   AS Monaco FC         Juventus
GK-GK      0                    0
GK-STR     1                    2
GK-DEF     11                   7
GK-MID     3                    8
STR-GK     0                    0
STR-STR    5                    6
STR-DEF    16                   16
STR-MID    24                   29
DEF-GK     16                   4
DEF-STR    19                   20
DEF-DEF    62                   38
DEF-MID    73                   60
MID-GK     1                    1
MID-STR    32                   42
MID-DEF    84                   61
MID-MID    55                   18
MatchID: 2014425
Position   FC Barcelona         Paris Saint-Germain
GK-GK      0                    0
GK-STR     2                    0
GK-DEF     24                   12
GK-MID     4                    5
STR-GK     0                    0
STR-STR    32                   9
STR-DEF    54                   23
STR-MID    54                   39
DEF-GK     14                   12
DEF-STR    71                   23
DEF-DEF    72                   41
DEF-MID    107                  91
MID-GK     2                    0
MID-STR    66                   43
MID-DEF    111                  79
MID-MID    57                   129
MatchID: 2014426
Position   Club Atlético de Madrid Real Madrid CF
GK-GK      0                    0
GK-STR     5                    2
GK-DEF     1                    12
GK-MID     3                    3
STR-GK     0                    0
STR-STR    0                    7
STR-DEF    2                    12
STR-MID    12                   20
DEF-GK     2                    10
DEF-STR    5                    28
DEF-DEF    8                    131
DEF-MID    33                   100
MID-GK     1                    0
MID-STR    9                    31
MID-DEF    34                   83
MID-MID    93                   41
MatchID: 2014427
Position   Juventus             Real Madrid CF
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     14                   16
GK-MID     10                   4
STR-GK     0                    0
STR-STR    8                    6
STR-DEF    18                   14
STR-MID    21                   15
DEF-GK     8                    8
DEF-STR    23                   22
DEF-DEF    57                   125
DEF-MID    96                   108
MID-GK     2                    0
MID-STR    33                   18
MID-DEF    77                   96
MID-MID    33                   45
MatchID: 2014428
Position   FC Barcelona         FC Bayern München
GK-GK      0                    0
GK-STR     2                    2
GK-DEF     21                   22
GK-MID     3                    7
STR-GK     0                    0
STR-STR    28                   9
STR-DEF    14                   18
STR-MID    30                   11
DEF-GK     16                   25
DEF-STR    44                   22
DEF-DEF    33                   75
DEF-MID    52                   98
MID-GK     2                    3
MID-STR    33                   24
MID-DEF    60                   99
MID-MID    37                   73
MatchID: 2014429
Position   FC Barcelona         FC Bayern München
GK-GK      0                    0
GK-STR     4                    1
GK-DEF     30                   19
GK-MID     3                    4
STR-GK     0                    0
STR-STR    34                   9
STR-DEF    34                   20
STR-MID    30                   14
DEF-GK     25                   14
DEF-STR    57                   27
DEF-DEF    55                   96
DEF-MID    38                   104
MID-GK     1                    4
MID-STR    28                   25
MID-DEF    54                   107
MID-MID    25                   82
MatchID: 2014430
Position   Juventus             Real Madrid CF
GK-GK      0                    0
GK-STR     4                    1
GK-DEF     13                   9
GK-MID     7                    3
STR-GK     0                    0
STR-STR    9                    8
STR-DEF    12                   12
STR-MID    31                   25
DEF-GK     5                    3
DEF-STR    24                   25
DEF-DEF    43                   62
DEF-MID    67                   113
MID-GK     3                    1
MID-STR    35                   29
MID-DEF    61                   101
MID-MID    54                   67
