1.67	0.67	1.47
16.33	12.33	13.6
6.33	4	4.89
7.33	3.67	5.28
2.67	4.67	3.44
0.67	0	0.32
0.67	4.33	3.46
4.33	4.67	4.88
4.33	1.67	2.55
		
		
0 0 0
0 0 0		
117132	113488	109095
		
2	2	2
0.33	0	0.06
18	16	12.65
14.67	15.33	11.99
316.33	488	428.25
121.67	124.33	108.65
165.33	317	272.22
29.33	46.67	47.39
255.33	414.33	378.03
98.33	92	92.66
137.33	287	249.63
19.67	35.33	35.75
81%	85%	29%
81%	74%	28%
83%	91%	30%
67%	76%	25%
32.3/10	37.7/8	36.2/15.2
22.7/6.7	18/5.7	22.2/11.3
8.3/6	7.7/4	9.3/4.8
