Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 20 October 2015,,,,,,,,,,,,,,,
Group F - Arsenal Stadium - London,,,,,,,,,,,,,,,
,Arsenal FC,,,,,,2 - 0,,,,FC Bayern München,,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Petr Čech,33,"94'26""",,,,,,,,,,,,
,Per Mertesacker,4,"94'26""",,,,,,,,,,,,
,Laurent Koscielny,6,"94'26""",,,,,,,1,1,1,,,
,Mesut Ö zil,11,"94'26""",1,2,,,,,,,,,,
,Theo Walcott,14,"73'40""",,4,,,1,1,1,,2,,,
,Aaron Ramsey,16,"56'40""",,,,,,1,2,1,,,,
,Alexis Sánchez,17,"81'47""",,,,,1,,,2,,,,
,Nacho Monreal,18,"94'26""",,,,,,,1,,1,,,
,Santi Cazorla,19,"94'26""",,,,,,,,2,,,,
,Héctor Bellerín,24,"94'26""",,,,,,,2,,1,,,
,Francis Coquelin,34,"94'26""",,,,,1,,,,,,,
,Matt Macey,49,,,,,,,,,,,,,
,Mathieu Debuchy,2,,,,,,,,,,,,,
,Kieran Gibbs,3,"12'39""",,,,,,,,,,,,
,Mikel Arteta,8,,,,,,,,,,,,,
,Olivier Giroud,12,"20'45""",1,2,,,,,1,1,,1,,
,Alex Oxlade-Chamberlain,15,"37'46""",,,,,,,,,1,,,
,Calum Chambers,21,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'26""",,,,,,,,,,,,1,Manuel Neuer
,,"94'26""",,2,,,,2,,1,,,,6,Thiago Alcántara
,,"94'26""",,2,,,2,1,2,2,,,,9,Robert Lewandowski
,,"94'26""",,3,,,1,1,,2,,,,11,Douglas Costa
,,"70'07""",,,,,2,,2,,,,,14,Xabi Alonso
,,"94'26""",,,,,,,,1,,,,17,Jérôme Boateng
,,"94'26""",,,,,,2,1,,,,,18,Juan Bernat
,,"94'26""",,,,,,,,,,,,21,Philipp Lahm
,,"70'03""",,1,,,,,1,1,,,,23,Arturo Vidal
,,"94'26""",,,,,1,,,,,,,25,Thomas Müller
,,"94'26""",,,,,,2,,,,,,27,David Alaba
,,,,,,,,,,,,,,26,Sven Ulreich
,,,,,,,,,,,,,,8,Javi Martínez
,,"24'23""",,,,,,,,,,,,13,Rafinha
,,,,,,,,,,,,,,15,Jan Kirchhoff
,,,,,,,,,,,,,,16,Gianluca Gaudino
,,,,,,,,,,,,,,29,Kingsley Coman
,,"24'19""",,,,,,,1,,,,,32,Joshua Kimmich
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,04:01:50CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,21 Oct 2015
UEFA Media Information,,,,,,,,,,,,,,,
