Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 21 October 2015,,,,,,,,,,,,,,,
Group B - VfL Wolfsburg Arena - Wolfsburg,,,,,,,,,,,,,,,
,VfL Wolfsburg,,,,,,2 - 0,,,,,PSV Eindhoven,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Diego Benaglio,1,"94'51""",,,,,,,1,,,1,,
,Daniel Caligiuri,7,"73'53""",,1,,,1,,,,1,,,
,Julian Draxler,10,"80'59""",,2,,,,,1,,,,,
,Max Kruse,11,"94'51""",1,2,,,2,,,,,,,
,Bas Dost,12,"94'51""",1,2,,,2,,1,1,,,,
,Christian Träsch,15,"94'51""",,,,,,,,1,,,,
,Dante,18,"94'51""",,,,,,,1,,,,,
,Luiz Gustavo,22,"94'51""",,,,,1,,1,,,,,
,Josuha Guilavogui,23,"85'58""",,1,,,,,1,,,,,
,Naldo,25,"94'51""",,,,,1,1,2,,,1,,
,Ricardo Rodriguez,34,"94'51""",,,,,,,1,,,,,
,Koen Casteels,28,,,,,,,,,,,,,
,Marcel Schäfer,4,,,,,,,,,,,,,
,Timm Klose,5,,,,,,,,,,,,,
,Vieirinha,8,"20'58""",,,,,,,,,,,,
,André Schürrle,17,"13'52""",,,,,,,,1,,,,
,Sebastian Jung,24,,,,,,,,,,,,,
,Maximilian Arnold,27,"8'53""",,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'51""",,,,,,,,,,,,1,Jeroen Zoet
,,"94'51""",,,,,,,,,,,,3,Héctor Moreno
,,"94'51""",,,,,,,1,1,1,,,5,Jeffrey Bruma
,,"94'51""",,,,,,1,,3,,,,6,Davy Pröpper
,,"82'12""",,1,,,,,1,,,,,9,Luuk de Jong
,,"94'51""",,,,,2,,,1,1,,,10,Adam Maher
,,"94'51""",,,,,,,,1,1,,,11,Luciano Narsingh
,,"75'11""",,,,,,,,,,,,14,Simon Poulsen
,,"94'51""",,,,,2,,1,1,,,,18,Andrés Guardado
,,"94'51""",,,,,,,1,,,,,20,Joshua Brenet
,,"74'21""",,,,,1,1,,,,,,29,Jorrit Hendrix
,,,,,,,,,,,,,,22,Remko Pasveer
,,,,,,,,,,,,,,2,Nicolas Isimat-Mirin
,,"12'40""",,,,,,,,1,,,,7,Gastón Pereiro
,,,,,,,,,,,,,,8,Stijn Schaars
,,"20'30""",,1,,,,,,1,,,,19,Jürgen Locadia
,,,,,,,,,,,,,,23,Rai Vloet
,,"19'40""",,,,,,,,,,,,30,Jordy De Wijs
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,01:37:57CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,22 Oct 2015
UEFA Media Information,,,,,,,,,,,,,,,
