Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP D - Borussia-Park - Monchengladbach,,,,,,,,,,,,,,,,,,,,,,,,,
VfL Borussia Mönchengladbach,,,,,,,,,,1 - 1,,,,,,,,,Juventus,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,,
From,,TP,1,3,6,8,11,13,15,16,17,19,34,10,PC,PA,PC,PA,PC,PA,PC,PA,%,,
Yann Sommer,1,"94'20""",,9,2,4,-,-,13,-,1,1,6,-,8,17,24,25,4,4,36,46,78%,,
Andreas Christensen,3,"94'20""",11,,16,3,1,1,11,2,2,-,17,-,13,13,44,45,7,8,64,66,97%,,
Håvard Nordtveit,6,"94'20""",2,9,,6,4,4,-,17,1,-,6,-,3,5,36,38,10,12,49,55,89%,,
Mahmoud Dahoud,8,"94'20""",1,9,6,,7,6,5,6,5,-,16,1,8,9,43,45,11,12,62,66,94%,,
Raffael,11,"94'20""",-,-,3,6,,13,1,10,8,2,7,3,4,4,34,34,15,19,53,57,93%,,
Lars Stindl,13,"94'20""",-,2,2,5,9,,-,7,6,1,5,1,1,1,22,26,15,16,38,43,88%,,
Álvaro Domínguez,15,"94'20""",11,11,-,7,1,1,,2,15,-,15,-,5,8,52,52,6,7,63,67,94%,,
Ibrahima Traoré,16,"94'20""",-,2,7,3,9,5,-,,4,4,9,2,3,3,32,36,10,12,45,51,88%,,
Oscar Wendt,17,"94'20""",2,-,-,12,14,7,12,6,,4,7,1,3,3,43,46,19,22,65,71,92%,,
Fabian Johnson,19,"85'35""",-,-,-,4,3,2,1,-,4,,3,-,1,1,8,9,8,9,17,19,89%,,
Granit Xhaka,34,"94'20""",4,12,11,11,5,5,11,7,24,4,,-,23,29,61,63,10,12,94,104,90%,,
Thorgan Hazard 10,,"8'44""",-,-,1,2,-,1,-,-,-,-,-,,0,0,1,1,3,5,4,6,67%,,
Total passes received:,,,31,54,48,63,53,45,54,57,70,16,91,8,72,93,400 420 118 138,,,,590,651,91%,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,8,9,10,11,19,21,26,27,33,15,16,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"94'20""",,1,1,3,9,-,3,-,2,-,1,-,-,-,15,22,5,5,0,0,20,27,74%
Giorgio Chiellini,3,"94'20""",2,,2,3,3,-,3,1,-,1,8,-,-,-,4,5,15,16,4,4,23,25,92%
Claudio Marchisio,8,"94'20""",3,3,,-,-,-,4,4,4,1,-,-,-,-,2,2,15,16,2,4,19,22,86%
Álvaro Morata,9,"75'21""",-,1,2,,8,1,-,3,-,2,2,-,-,-,1,1,6,8,12,12,19,21,90%
Paul Pogba,10,"94'20""",-,4,3,2,,7,2,2,2,1,5,-,-,-,3,4,16,17,9,10,28,31,90%
Hernanes,11,"53'22""",-,-,1,2,3,,-,1,-,1,3,-,-,-,3,3,6,7,2,3,11,13,85%
Leonardo Bonucci,19,"94'20""",1,3,3,2,3,1,,2,3,2,-,-,2,-,3,6,16,18,3,3,22,27,81%
Paulo Dybala,21,"63'56""",-,1,2,4,1,1,1,,1,1,1,-,-,-,1,1,8,10,4,4,13,15,87%
Stephan Lichtsteiner,26,"94'20""",1,1,-,-,-,-,4,-,,3,1,-,-,-,2,4,7,8,1,1,10,13,77%
Stefano Sturaro,27,"87'59""",-,1,-,5,1,1,-,1,2,,-,-,-,-,0,3,8,12,3,3,11,18,61%
Patrice Evra,33,"94'20""",-,5,1,5,9,1,2,-,-,-,,-,-,-,0,1,14,14,9,11,23,26,88%
Andrea Barzagli 15,,"18'59""",-,-,-,-,-,-,-,-,1,-,-,,-,-,0,0,0,0,1,1,1,1,100%
Juan Cuadrado 16,,"30'24""",-,-,-,-,2,-,-,-,-,-,1,-,,-,0,0,1,1,2,2,3,3,100%
Mario Lemina 18,,"6'21""",-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,1,0,0,0,1,0%
Total passes received:,,,7,20,15,26,39,12,19,14,15,12,22,0,2,0,34,52,117 133,,52,58,203,243,84%
,,,,,,,,,,,,,,,,,,,,,,,,01:57:36CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,04 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
