Id;Label
24;José María Giménez
10;Arda Turan
13;Jan Oblak
20;Juanfran
22;Cani
23;Miranda
19;Fernando Torres
18;Jesús Gámez
1;Miguel Ángel Moyà
4;Mario Suárez
7;Antoine Griezmann
6;Koke
9;Mario Mandžukić
8;Raúl García
