Id;Label
24;"José María Giménez"
10;"Óliver Torres "
13;"Jan Oblak"
20;"Juanfran"
14;"Gabi"
17;"Saúl Ñíguez"
11;"Jackson Martínez "
2;"Diego Godín"
5;"Tiago"
4;"Guilherme Siqueira"
7;"Antoine Griezmann"
6;"Koke"
9;"Fernando Torres"
21;"Yannick Carrasco "
