Source;Target;Weight
15;14;7
15;22;7
15;19;2
15;18;6
15;1;2
15;2;11
15;7;4
15;6;1
15;8;29
14;15;12
14;22;5
14;17;9
14;16;18
14;19;2
14;1;1
14;2;16
14;7;5
14;6;9
14;9;1
14;8;26
17;14;16
17;22;11
17;16;13
17;19;5
17;1;1
17;2;2
17;7;2
17;6;6
17;9;4
17;8;7
17;21;2
16;15;3
16;14;17
16;17;12
16;19;1
16;22;6
16;2;6
16;7;9
16;6;6
16;9;2
16;8;14
19;15;4
19;14;2
19;17;7
19;16;2
19;18;2
19;22;2
19;7;1
19;8;10
19;21;3
18;19;1
18;8;4
18;15;4
18;7;2
22;15;8
22;14;8
22;17;9
22;16;4
22;19;5
22;18;1
22;7;6
22;9;8
22;8;14
1;15;1
1;21;1
1;22;2
1;2;5
1;17;4
1;6;4
2;15;14
2;14;8
2;17;1
2;22;4
2;1;4
2;7;1
2;6;18
2;9;1
2;8;15
7;15;1
7;14;5
7;22;4
7;16;10
7;18;1
7;9;6
7;8;4
6;14;14
6;17;12
6;16;11
6;19;4
6;22;3
6;1;1
6;2;10
6;8;5
9;15;2
9;14;1
9;17;1
9;16;6
9;22;8
9;2;1
9;7;5
9;8;5
8;15;22
8;14;26
8;17;4
8;16;18
8;19;7
8;18;6
8;22;23
8;2;4
8;7;9
8;6;5
8;9;10
8;21;1
21;19;3
21;7;1
21;6;2
