Source;Target;Weight
11;20;1
11;21;2
10;20;2
10;21;3
10;17;4
10;19;3
10;34;1
10;7;2
10;9;4
12;11;2
12;10;1
12;20;2
12;17;6
12;19;1
12;50;3
12;34;1
12;33;1
12;4;4
12;9;1
20;10;1
20;17;4
20;19;1
20;50;2
20;34;1
20;7;3
20;9;4
21;19;1
21;10;3
17;10;3
17;20;2
17;19;4
17;50;3
17;34;5
17;33;1
17;5;1
17;4;2
17;7;4
17;9;5
19;10;11
19;20;2
19;17;4
19;33;3
19;34;2
19;4;1
19;7;4
19;9;1
50;10;2
50;20;5
50;17;5
50;34;3
50;4;4
50;7;2
50;9;2
34;12;1
34;20;1
34;21;2
34;17;5
34;19;3
34;50;6
34;33;1
34;4;3
34;7;3
34;9;3
33;10;2
33;12;4
33;17;1
33;19;9
33;50;1
33;4;3
33;7;3
33;9;1
5;20;2
5;34;1
4;12;5
4;21;1
4;17;1
4;19;1
4;50;7
4;34;7
4;33;6
4;5;1
4;7;3
4;9;1
7;10;6
7;12;4
7;20;3
7;17;4
7;19;7
7;50;3
7;34;2
7;33;1
7;4;3
9;10;4
9;20;3
9;17;2
9;19;1
9;50;6
9;34;1
9;33;1
9;4;1
9;7;3
