Id;Label
10;"Wayne Rooney"
12;"Chris Smalling"
17;"Daley Blind"
25;"Antonio Valencia"
18;"Ashley Young "
31;"Schweinsteiger"
28;"Morgan Schneiderlin"
36;"Matteo Darmian"
1;"David de Gea"
4;"Phil Jones"
7;"Memphis Depay"
9;"Anthony Martial"
8;"Juan Mata"
44;"Andreas Pereira "
