Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 22 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - BayArena - Leverkusen,,,,,,,,,,,,,,,,,,,,,,,,,
Bayer 04 Leverkusen,,,,,,,,,,2 - 0,,,,,,,Football Club Zenit,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,7,8,10,11,18,21,26,38,14,16,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Bernd Leno,1,95'36,,-,6,-,-,-,-,2,1,1,-,-,-,-,3,3,7,7,0,0,10,10,1
Stefan Reinartz,3,95'36,-,,1,3,4,1,2,6,1,1,4,-,-,2,1,3,12,14,12,16,25,33,0.76
Emir Spahić,5,59'54,7,1,,2,2,-,4,5,2,1,2,-,-,-,7,11,13,20,6,7,26,38,0.68
Son Heung-Min,7,95'36,1,4,1,,5,10,2,6,-,3,2,-,1,1,3,3,18,20,15,24,36,47,0.77
Lars Bender,8,95'36,-,2,1,7,,4,4,2,1,4,1,-,-,2,2,2,14,17,12,15,28,34,0.82
Hakan Çalhanoğlu,10,81'23,-,3,2,4,3,,1,5,3,1,5,1,-,-,2,4,10,11,16,21,28,36,0.78
Stefan Kiessling,11,95'36,1,2,-,4,4,-,,4,1,3,5,-,-,1,2,2,13,18,10,13,25,33,0.76
Wendell,18,78'39,1,1,1,9,2,10,2,,-,1,1,-,-,-,2,2,11,15,15,18,28,35,0.8
Ömer Toprak,21,95'36,3,3,4,1,3,4,-,1,,2,2,1,-,1,2,2,17,20,6,8,25,30,0.83
Giulio Donati,26,95'36,3,1,-,2,1,-,1,-,2,,6,-,-,3,1,1,10,13,8,9,19,23,0.83
Karim Bellarabi,38,85'08,2,-,1,4,1,2,2,-,1,1,,-,-,-,4,4,7,11,3,6,14,21,0.67
Kyriakos Papadopoulos 14,,35'43,-,-,-,-,1,-,-,-,-,-,-,,-,-,0,1,1,1,0,0,1,2,0.5
Tin Jedvaj 16,,14'14,-,-,-,-,-,-,1,-,-,-,-,-,,-,0,0,0,0,1,1,1,1,1
Julian Brandt 19,,10'29,-,1,-,4,-,-,1,-,-,-,-,-,-,,0,1,4,5,2,3,6,9,0.67
Total passes received:,,,18,18,17,40,26,31,20,31,12,18,28,2,1,10,29,39,137 172 106 141,,,,272,352,0.77
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,Medium,,Short,,,Total,,
From,,TP,1,2,4,6,7,20,21,23,24,28,35,11,17,PC,PA,PC,PA,PC,PA,PC,PA,%,
Yuri Lodygin,1,95'36,,3,-,6,2,-,-,-,6,-,1,-,-,2,3,13,13,3,3,18,19,0.95,
Aleksandr Anyukov,2,95'36,3,,-,-,9,-,3,2,9,2,2,-,3,2,4,21,27,10,10,33,41,0.8,
Domenico Criscito,4,95'36,1,2,,4,3,4,2,2,-,1,6,-,4,0,0,18,19,11,15,29,34,0.85,
Nicolas Lombaerts,6,95'36,3,3,7,,2,3,1,-,7,3,5,-,2,4,4,28,30,4,5,36,39,0.92,
Hulk,7,95'36,-,2,1,1,,1,-,-,1,2,3,1,-,2,2,6,13,4,9,12,24,0.5,
Viktor Fayzulin,20,61'27,2,-,2,1,1,,-,-,-,-,5,-,-,0,0,7,10,4,7,11,17,0.65,
Javi García,21,95'36,2,4,2,4,2,-,,2,3,4,2,-,1,5,6,16,21,5,6,26,33,0.79,
José Rondón,23,95'36,-,-,1,-,-,-,1,,-,2,10,-,-,0,0,6,9,8,15,14,24,0.58,
Ezequiel Garay,24,95'36,5,7,-,9,1,1,5,-,,1,1,-,-,4,8,23,24,3,3,30,35,0.86,
Axel Witsel,28,81'33,-,4,3,1,4,2,1,1,4,,7,-,1,4,4,15,18,9,16,28,38,0.74,
Danny,35,95'36,-,7,7,3,1,1,4,2,-,5,,1,6,1,5,26,36,10,21,37,62,0.6,
Aleksandr Kerzhakov 11,,14'03,-,-,-,-,-,-,-,-,-,-,-,,1,0,0,1,1,0,0,1,1,1,
Oleg Shatov 17,,34'10,-,-,1,1,1,-,-,-,-,3,4,-,,0,0,4,6,6,10,10,16,0.62,
Total passes received:,,,16,32,24,30,26,12,17,9,30,23,46,2,18,24,36,184 227,,77,120,285,383,0.74,
,,,,,,,,,,,,,,,,,,,,,,,,03:26:10CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,23 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
