2.67	0.67	1.53
17	12	13.68
7.33	4.33	4.89
5.67	4	5.23
4	3.67	3.56
0.33	0.67	0.31
3.33	6.33	3.4
8.33	3	4.78
3	3.33	2.58
		
		
0 0 0
0 0 0		
115421	114611	108286
		
2	2	1.96
0	0	0.04
13.33	11.67	12.5
11	11.67	11.86
469.67	328	430.31
129	82.33	107.88
290.67	208	275.34
50	37.67	47.1
423	277.33	380.8
115.67	64.33	92.11
265	189.33	252.95
42.33	23.67	35.74
90%	85%	35%
90%	78%	34%
91%	91%	36%
85%	63%	30%
37.7/20.7	24.3/10	36.6/14.8
21/12.3	13.7/8	22.7/10.9
15.3/11	2.7/2.7	9.3/4.8
		
