Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,
GROUP A - Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,1 - 0,,,,Paris Saint-Germain,,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Keylor Navas,1,"97'07""",,,,,,,,,,1,,
,Raphaël Varane,2,"97'07""",,,,,,,,1,,,,
,Sergio Ramos,4,"97'07""",,1,,,,,2,,,,,
,Cristiano Ronaldo,7,"97'07""",,2,,,1,,1,1,,,,
,Toni Kroos,8,"97'07""",,1,,,,1,1,3,,,,
,Marcelo,12,"32'13""",,,,,,,,1,,,,
,Casemiro,14,"97'07""",,,,,,,7,2,,1,,
,Luka Modrić,19,"97'07""",,,,,,,,,,,,
,Jesé,20,"66'26""",,,,,,,2,,,,,
,Isco,22,"85'09""",,4,,,,1,1,3,,,,
,Danilo,23,"97'07""",,,,,,,1,,,,,
,Kiko Casilla,13,,,,,,,,,,,,,
,Pepe,3,,,,,,,,,,,,,
,Nacho,6,"64'54""",1,1,,,1,,,1,,,,
,James Rodríguez,10,,,,,,,,,,,,,
,Mateo Kovačić,16,"11'58""",,,,,,,,,,,,
,Lucas Vázquez,18,"30'41""",,,,,,,,2,,,,
,Denis Cheryshev,21,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"97'07""",,,,,,,,,,,,16,Kevin Trapp
,,"97'07""",,,,,,,,1,,,,2,Thiago Silva
,,"16'33""",,,,,,,,,,,,6,Marco Verratti
,,"97'07""",,,,,,,1,2,,,,8,Thiago Motta
,,"97'07""",,,,,1,1,,1,2,,,9,Edinson Cavani
,,"97'07""",,,,,5,,,,3,,,10,Zlatan Ibrahimović
,,"97'07""",,1,,1,1,,,2,,,,11,Ángel Di María
,,"78'18""",,1,,,,,3,2,,,,14,Blaise Matuidi
,,"97'07""",,,,,,,2,,,,,17,Maxwell
,,"97'07""",,1,,,,,3,2,,1,,19,Serge Aurier
,,"97'07""",,,,,,1,1,1,,1,,32,David Luiz
,,,,,,,,,,,,,,30,Salvatore Sirigu
,,,,,,,,,,,,,,4,Benjamin Stambouli
,,"18'49""",,,,,,,1,1,,,,7,Lucas
,,,,,,,,,,,,,,20,Layvin Kurzawa
,,,,,,,,,,,,,,22,Ezequiel Lavezzi
,,,,,,,,,,,,,,23,Gregory van der Wiel
,,"80'34""",,,1,,1,1,3,2,,,,25,Adrien Rabiot
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,01:44:52CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,04 Nov 2015
UEFA Media Information,,,,,,,,,,,,,,,
