Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 25 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Estádio José Alvalade - Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
Sporting Clube de Portugal,,,,,,,,,,3 - 1,,,,,,,,NK Maribor,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,9,14,17,23,26,36,41,77,8,10,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Rui Patrício,1,94'12,,1,1,-,-,-,1,2,1,2,2,-,-,-,2,4,8,8,0,0,10,12,0.83
Maurício,3,94'12,2,,18,-,4,3,4,9,2,-,1,-,-,-,3,4,35,39,5,6,43,49,0.88
Jefferson,4,94'12,1,7,,2,3,4,5,1,4,-,14,-,-,-,6,8,23,26,12,15,41,49,0.84
Islam Slimani,9,75'34,-,-,2,,2,3,1,-,-,2,1,-,-,-,0,0,4,5,7,11,11,16,0.69
William Carvalho,14,94'12,-,9,8,1,,2,10,5,3,9,5,3,-,3,9,10,34,36,15,15,58,61,0.95
João Mário,17,82'43,1,2,6,2,5,,4,1,1,8,4,-,1,-,6,6,18,19,11,13,35,38,0.92
Adrien Silva,23,94'12,-,1,7,3,5,4,,4,4,4,1,-,-,-,5,7,17,22,11,12,33,41,0.8
Paulo Oliveira,26,94'12,2,12,2,2,9,4,1,,1,11,2,-,-,1,5,5,36,37,6,7,47,49,0.96
Carlos Mané,36,66'58,-,1,2,2,2,4,1,2,,2,1,-,-,-,0,0,10,14,7,8,17,22,0.77
Cédric,41,94'12,1,2,2,-,8,3,3,9,6,,6,-,-,4,2,3,29,31,13,13,44,47,0.94
Nani,77,94'12,-,2,5,3,4,4,7,1,3,2,,-,-,1,4,4,17,20,11,15,32,39,0.82
André Martins,8,11'28,-,-,-,-,-,-,-,-,-,-,-,,3,3,0,0,5,6,1,2,6,8,0.75
Fredy Montero 10,,18'38,-,-,-,-,-,-,-,-,-,1,2,-,,1,0,0,4,5,0,0,4,5,0.8
André Carrillo 18,,27'14,-,-,-,-,5,1,-,1,-,3,-,-,3,,2,2,2,3,9,9,13,14,0.93
Total passes received:,,,7,37,53,15,47,32,37,35,25,44,39,3,7,13,44,53,242 271 108 126,,,,394,450,0.88
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,5,7,8,9,11,22,26,30,44,70,10,14,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasmin Handanović,33,94'12,,-,-,-,-,-,2,4,2,6,-,1,-,-,5,5,8,8,2,2,15,15,1
Željko Filipović,5,94'12,-,,10,3,2,2,3,4,10,1,2,4,-,2,7,9,31,33,5,7,43,49,0.88
Aleš Mejač,7,94'12,1,6,,2,2,2,1,-,2,9,4,4,-,2,5,6,22,25,8,10,35,41,0.85
Sintayehu Sallalich,8,70'02,-,5,1,,5,1,-,1,-,2,-,2,-,-,2,2,9,10,6,6,17,18,0.94
Tavares,9,94'12,-,5,5,2,,3,2,-,2,-,7,2,2,-,1,1,14,17,15,15,30,33,0.91
Luka Zahović,11,76'32,-,5,1,1,-,,-,-,-,-,1,2,-,-,0,0,5,5,5,5,10,10,1
Dare Vršič,22,46'02,-,-,1,-,2,3,,1,1,-,1,-,-,-,2,2,5,10,2,3,9,15,0.6
Aleksander Rajčević,26,94'12,6,4,1,1,1,1,-,,6,21,1,5,-,-,2,3,38,40,7,7,47,50,0.94
Petar Stojanović,30,94'12,3,3,-,1,1,-,-,12,,1,4,5,-,-,0,1,20,21,10,12,30,34,0.88
Arghus,44,94'12,3,6,9,2,1,-,1,15,-,,7,-,-,1,5,8,33,33,7,7,45,48,0.94
Aleš Mertelj,70,94'12,-,3,5,2,2,-,5,2,5,4,,4,-,1,1,1,28,31,4,7,33,39,0.85
Agim Ibraimi 10,,48'09,-,5,5,1,3,-,-,5,2,-,1,,1,-,0,0,13,16,10,11,23,27,0.85
Jean-Philippe Mendy 14,,17'39,-,1,-,-,4,-,-,1,-,-,-,-,,1,0,0,4,5,3,4,7,9,0.78
Damjan Bohar 39,,24'10,-,1,2,-,-,-,-,-,-,-,1,-,2,,0,0,4,4,2,2,6,6,1
Total passes received:,,,13,44,40,15,23,12,14,45,30,44,29,29,5,7,30,38,234 258,,86,98,350,394,0.89
,,,,,,,,,,,,,,,,,,,,,,,,01:39:09CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
