Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 25 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Parc des Princes - Paris,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint-Germain,,,,,,,,,,3 - 1,,,,,,,,AFC Ajax,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,5,9,10,14,17,22,23,25,27,32,7,20,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Salvatore Sirigu,30,94'10,,2,1,1,1,5,-,1,-,1,-,1,1,-,6,7,6,6,2,2,14,15,0.93
Marquinhos,5,94'10,4,,-,2,-,-,-,7,8,7,12,-,-,-,3,4,27,28,10,11,40,43,0.93
Edinson Cavani,9,94'10,-,1,,4,6,11,-,-,2,1,2,-,-,-,2,2,16,19,9,13,27,34,0.79
Zlatan Ibrahimović,10,88'02,-,1,1,,6,1,3,4,3,10,2,-,-,-,0,0,18,23,13,16,31,39,0.79
Blaise Matuidi,14,94'10,1,1,9,5,,10,3,-,1,7,5,-,-,1,1,1,24,27,18,20,43,48,0.9
Maxwell,17,94'10,2,2,6,4,5,,-,-,9,6,11,-,2,2,2,3,36,37,11,12,49,52,0.94
Ezequiel Lavezzi,22,69'32,-,2,2,1,1,-,,5,-,2,-,-,-,-,0,1,9,12,4,6,13,19,0.68
Gregory van der Wiel,23,94'10,2,6,1,5,-,1,4,,5,8,2,4,-,-,1,2,21,22,16,18,38,42,0.9
Adrien Rabiot,25,76'41,3,4,3,5,9,5,1,2,,7,7,1,-,-,2,3,33,34,12,13,47,50,0.94
Javier Pastore,27,94'10,-,3,9,9,4,3,8,9,2,,4,4,1,1,3,3,38,40,16,20,57,63,0.9
David Luiz,32,94'10,4,12,2,1,2,6,1,1,8,4,,2,-,1,7,11,30,32,7,7,44,50,0.88
Lucas,7,24'37,-,1,2,1,-,-,-,4,-,3,-,,1,-,0,0,9,11,3,4,12,15,0.8
Clément Chantôme 20,,17'29,-,-,-,-,-,1,-,1,-,2,2,-,,1,0,0,4,4,3,4,7,8,0.88
Lucas Digne 21,,6'08,-,-,-,-,2,1,-,-,-,-,-,-,1,,0,0,2,2,2,3,4,5,0.8
Total passes received:,,,16,35,36,38,36,44,20,34,38,58,47,12,6,6,27,37,273 297 126 149,,,,426,483,0.88
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,22,2,5,6,10,11,16,19,20,24,25,26,32,PC,PA,PC,PA,PC,PA,PC,PA,%,
Jasper Cillessen,22,94'10,,3,-,5,-,-,1,-,-,3,1,6,1,5,5,15,15,0,0,20,20,1,
Ricardo van Rhijn,2,94'10,-,,-,6,9,6,6,-,9,5,6,3,-,2,2,31,32,17,18,50,52,0.96,
Nicolai Boilesen,5,9'53,-,-,,-,-,-,-,-,-,1,1,-,-,0,0,2,2,0,0,2,2,1,
Mike van der Hoorn,6,94'10,2,5,-,,12,2,3,3,5,16,3,3,5,6,6,43,45,10,11,59,62,0.95,
Davy Klaassen,10,94'10,1,12,-,11,,3,3,3,4,3,12,2,3,0,0,30,31,27,27,57,58,0.98,
Ricardo Kishna,11,94'10,-,4,-,-,5,,6,2,5,-,2,4,1,0,0,18,25,11,13,29,38,0.76,
Lucas Andersen,16,94'10,-,4,1,1,5,13,,6,9,6,9,10,-,3,3,41,48,20,21,64,72,0.89,
Arkadiusz Milik,19,94'10,-,4,-,1,2,4,4,,4,1,4,-,2,4,4,9,11,13,16,26,31,0.84,
Lasse Schöne,20,94'10,-,4,-,2,7,3,2,9,,2,5,3,2,1,2,18,23,20,21,39,46,0.85,
Stefano Denswil,24,94'10,6,3,-,18,1,7,13,1,2,,5,7,1,5,5,55,59,4,6,64,70,0.91,
Thulani Serero,25,70'25,-,10,-,4,13,5,14,2,4,4,,5,-,3,4,37,41,21,23,61,68,0.9,
Nick Viergever 26,,84'16,1,1,-,1,2,6,13,2,2,11,4,,2,2,2,39,41,4,9,45,52,0.87,
Niki Zimling 32,,23'44,-,6,-,1,-,1,3,-,1,4,-,3,,2,2,16,16,1,1,19,19,1,
Total passes received:,,,10,56,1,50,56,50,68,28,45,57,52,46,17,33,35,354 389 148 166,,,,535,590,0.91,
,,,,,,,,,,,,,,,,,,,,,,,,01:37:20CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
