Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 25 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Arena Khimki - Khimki,,,,,,,,,,,,,,,,,,,,,,,,,
PFC CSKA Moskva,,,,,,,,,,1 - 1,,,,,,,,AS Roma,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,35,2,4,10,18,19,24,25,42,66,88,7,23,PC,PA,PC,PA,PC,PA,PC,PA,%,
Igor Akinfeev,35,94'15,,-,6,1,-,-,2,-,1,-,-,-,-,2,3,6,6,2,2,10,11,0.91,
Mário Fernandes,2,94'15,2,,1,3,4,4,11,3,-,7,2,2,-,0,1,26,29,13,14,39,44,0.89,
Sergei Ignashevich,4,94'15,2,4,,6,2,2,10,4,7,8,5,-,2,10,15,38,42,4,6,52,63,0.83,
Alan Dzagoev,10,94'15,-,3,4,,2,1,1,7,3,12,-,-,-,2,2,15,18,16,19,33,39,0.85,
Ahmed Musa,18,81'05,1,7,-,2,,-,4,3,-,1,1,-,-,0,1,12,18,7,9,19,28,0.68,
Aleksandrs Cauņa,19,64'17,-,3,-,1,3,,4,6,1,1,1,-,-,0,0,17,17,3,3,20,20,1,
Vasili Berezutski,24,94'15,5,7,12,4,2,5,,4,1,10,-,1,3,4,6,42,43,8,8,54,57,0.95,
Roman Eremenko,25,94'15,-,2,3,6,3,2,3,,3,12,4,-,2,0,0,29,33,11,11,40,44,0.91,
Georgi Schennikov,42,94'15,-,1,6,3,-,1,1,4,,4,-,-,1,1,1,13,17,7,7,21,25,0.84,
Bebras Natcho,66,94'15,-,3,8,8,11,6,9,11,1,,3,3,-,2,5,46,50,15,19,63,74,0.85,
Seydou Doumbia,88,94'15,-,1,-,2,1,-,3,3,2,2,,-,2,1,1,10,11,5,7,16,19,0.84,
Zoran Tošić,7,13'10,-,-,-,-,-,-,-,2,-,2,-,,-,0,0,4,5,0,1,4,6,0.67,
Georgi Milanov 23,,29'58,-,1,1,1,-,-,-,4,-,1,2,-,,0,0,8,9,2,2,10,11,0.91,
Total passes received:,,,10,32,41,37,28,21,48,51,19,60,18,6,10,22,35,266 298,,93,108,381,441,0.86,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,26,4,8,10,16,20,23,24,25,27,44,6,7,15,PC,PA,PC,PA,PC,PA,PC,PA,%
Morgan De Sanctis,26,94'15,,-,2,-,2,2,3,1,-,-,5,-,-,-,3,3,11,12,1,1,15,16,0.94
Radja Nainggolan,4,83'17,1,,7,5,13,11,2,9,3,6,2,-,-,-,6,6,32,33,21,24,59,63,0.94
Adem Ljajić,8,87'37,-,6,,5,6,7,-,5,3,2,1,-,1,-,0,0,21,24,15,17,36,41,0.88
Francesco Totti,10,94'15,-,6,8,,6,5,3,10,2,3,-,1,3,-,5,8,27,29,15,17,47,54,0.87
Daniele De Rossi,16,94'15,2,10,7,9,,15,8,9,13,3,7,-,1,-,15,19,50,53,19,20,84,92,0.91
Seydou Keita,20,94'15,-,10,10,6,9,,9,10,12,6,2,1,-,-,4,7,48,49,23,26,75,82,0.91
Davide Astori,23,94'15,3,4,3,2,13,14,,5,6,1,6,-,-,1,10,13,33,36,15,18,58,67,0.87
Alessandro Florenzi,24,94'15,1,4,3,10,11,8,5,,2,4,10,-,-,-,9,13,35,37,14,14,58,64,0.91
José Holebas,25,94'15,-,8,6,1,9,11,12,-,,4,-,-,-,-,0,4,29,30,22,23,51,57,0.89
Gervinho,27,77'29,-,6,1,3,2,5,-,2,2,,-,-,-,-,1,1,12,16,8,10,21,27,0.78
Kostas Manolas,44,94'15,2,4,1,1,8,3,6,12,1,-,,-,-,-,1,2,29,30,8,9,38,41,0.93
Kevin Strootman,6,10'58,-,-,-,1,-,-,-,-,1,-,-,,1,-,0,0,2,2,1,2,3,4,0.75
Juan Manuel Iturbe,7,16'46,-,-,1,1,-,-,-,-,-,-,-,1,,-,0,0,2,2,1,1,3,3,1
Miralem Pjanić 15,,6'38,-,-,-,-,-,-,-,-,1,-,-,-,-,,0,0,0,0,1,1,1,1,1
Total passes received:,,,9,58,49,44,79,81,48,63,46,29,33,3,6,1,54,76,331 353 164 183,,,,549,612,0.9
,,,,,,,,,,,,,,,,,,,,,,,,23:45:35CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,25 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
