Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 25 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Arena Lviv - Lviv,,,,,,,,,,,,,,,,,,,,,,,,,
FC Shakhtar Donetsk,,,,,,,,,,0 - 1,,,,,,,,Athletic Club,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,5,6,9,13,17,20,28,29,33,44,8,10,11,PC,PA,PC,PA,PC,PA,PC,PA,%
Andriy Pyatov,30,94'08,,20,6,2,4,1,2,-,-,8,2,-,-,-,13,15,28,28,4,4,45,47,0.96
Olexandr Kucher,5,94'08,12,,4,6,5,2,3,3,1,25,7,-,2,1,15,22,43,49,13,13,71,84,0.85
Taras Stepanenko,6,94'08,2,8,,-,6,3,3,2,-,5,4,3,1,-,4,7,26,36,7,8,37,51,0.73
Luiz Adriano,9,94'08,-,1,1,,1,-,1,3,4,-,1,-,1,1,1,1,8,11,5,8,14,20,0.7
Vyacheslav Shevchuk,13,94'08,4,2,1,1,,1,-,7,1,2,4,1,3,1,4,11,17,22,7,8,28,41,0.68
Fernando,17,77'16,1,3,7,1,2,,6,3,1,6,2,-,-,-,4,4,21,21,7,7,32,32,1
Douglas Costa,20,68'07,-,4,1,-,-,2,,2,2,6,1,-,-,-,3,3,12,14,3,5,18,22,0.82
Taison,28,71'30,-,1,3,4,12,-,3,,2,4,6,-,-,-,4,4,19,21,12,12,35,37,0.95
Alex Teixeira,29,94'08,-,1,-,-,-,1,2,5,,2,-,-,-,-,0,0,8,8,3,3,11,11,1
Darijo Srna,33,94'08,5,13,6,2,3,6,9,3,1,,-,4,1,2,10,16,38,45,7,10,55,71,0.77
Yaroslav Rakitskiy,44,94'08,6,13,1,-,6,4,-,5,-,7,,-,-,-,8,12,28,31,6,6,42,49,0.86
Fred,8,16'53,-,-,-,-,2,-,-,-,-,1,2,,2,4,3,4,4,5,4,4,11,13,0.85
Bernard 10,,22'38,-,1,2,-,2,-,-,-,-,-,-,1,,1,1,1,5,6,1,1,7,8,0.88
Marlos 11,,26'01,-,-,2,1,-,-,-,-,-,2,-,1,2,,1,1,2,3,5,5,8,9,0.89
Total passes received:,,,30,67,34,17,43,20,29,33,12,68,29,10,12,10,71,101 259 300,,,84,94,414,495,0.84
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,6,7,8,10,14,16,17,19,21,24,18,20,29,PC,PA,PC,PA,PC,PA,PC,PA,%
Gorka Iraizoz,1,94'08,,-,-,1,2,1,1,1,1,1,-,1,-,-,5,8,4,4,0,0,9,12,0.75
Mikel San José,6,94'08,4,,2,7,1,-,-,1,1,1,2,-,1,-,2,5,13,17,5,5,20,27,0.74
Beñat,7,94'08,1,4,,3,4,3,-,10,8,6,4,-,2,-,5,7,28,31,12,15,45,53,0.85
Ander Iturraspe,8,94'08,-,3,8,,2,-,1,3,3,3,3,-,-,-,5,9,15,20,6,8,26,37,0.7
Óscar de Marcos,10,94'08,2,-,5,2,,9,-,3,2,3,-,1,2,-,4,6,19,24,6,8,29,38,0.76
Markel Susaeta,14,65'26,1,-,2,1,8,,-,-,3,2,1,-,-,-,3,3,9,11,6,7,18,21,0.86
Xabier Etxeita,16,31'25,-,-,-,1,2,2,,4,-,1,1,-,-,-,2,2,7,7,2,2,11,11,1
Mikel Rico,17,94'08,1,2,5,3,8,3,-,,2,4,4,-,2,1,4,6,20,25,11,13,35,44,0.8
Iker Muniain,19,88'35,1,1,4,3,2,1,1,3,,5,6,-,2,-,3,3,13,17,13,15,29,35,0.83
Borja Viguera,21,94'08,-,-,5,-,1,4,-,4,2,,-,-,-,-,2,2,10,14,4,9,16,25,0.64
Mikel Balenziaga,24,94'08,1,4,3,3,1,-,-,-,9,1,,-,-,1,2,2,14,19,7,9,23,30,0.77
Carlos Gurpegi 18,,62'44,1,-,-,3,1,1,-,-,1,-,-,,-,-,2,4,2,3,3,4,7,11,0.64
Aritz Aduriz 20,,28'42,-,1,4,-,-,-,-,-,-,2,-,-,,-,0,0,4,4,3,5,7,9,0.78
Unai Lopez 29,,5'33,-,-,-,-,-,-,-,1,-,-,-,-,-,,0,0,0,0,1,1,1,1,1
Total passes received:,,,12,15,38,27,32,24,3,30,32,29,21,2,9,2,39,57,158 196,,79,101,276,354,0.78
,,,,,,,,,,,,,,,,,,,,,,,,01:56:41CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
