Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 26 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Stadion Petrovskiy - St. Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,
Football Club Zenit,,,,,,,,,,1 - 0,,,,,,,,SL Benfica,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,5,6,7,21,23,24,28,35,13,17,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Yuri Lodygin,1,96'57,,2,-,1,-,3,-,-,2,2,1,1,-,-,6,14,6,6,0,0,12,20,0.6
Aleksandr Anyukov,2,96'57,-,,-,-,-,7,-,1,1,5,1,1,1,-,1,2,7,13,9,10,17,25,0.68
Domenico Criscito,4,96'57,1,1,,1,-,-,3,3,2,5,4,-,1,2,4,4,9,11,10,11,23,26,0.88
Aleksandr Ryazantsev,5,66'55,-,-,-,,-,2,-,1,-,3,3,1,-,-,1,2,4,7,5,6,10,15,0.67
Nicolas Lombaerts,6,22'49,1,-,2,-,,-,-,-,6,2,-,-,-,-,0,1,9,10,2,2,11,13,0.85
Hulk,7,96'57,-,4,-,2,-,,-,3,-,4,8,1,-,2,0,1,15,20,9,19,24,40,0.6
Javi García,21,60'48,-,-,3,2,-,1,,-,5,1,2,2,-,-,1,1,10,12,5,6,16,19,0.84
José Rondón,23,96'57,-,2,1,2,-,2,1,,-,-,4,1,2,1,0,0,8,11,8,10,16,21,0.76
Ezequiel Garay,24,96'57,2,2,2,1,5,5,1,-,,-,1,6,-,1,3,8,20,20,3,3,26,31,0.84
Axel Witsel,28,96'57,1,5,6,3,3,6,1,1,3,,3,5,-,3,2,2,31,32,7,10,40,44,0.91
Danny,35,96'57,-,1,3,3,-,11,1,5,-,2,,-,2,1,1,4,10,17,18,22,29,43,0.67
Luís Neto 13,,74'08,2,3,1,-,-,3,1,-,9,2,-,,-,1,2,4,17,18,3,3,22,25,0.88
Oleg Shatov 17,,30'02,-,-,2,-,-,2,-,-,-,1,-,-,,-,0,0,3,5,2,3,5,8,0.62
Viktor Fayzulin 20,,36'08,-,-,1,-,-,2,-,2,-,3,3,1,5,,1,1,13,14,3,3,17,18,0.94
Total passes received:,,,7,20,21,15,8,44,8,16,28,30,30,19,11,11,22,44,162 196,,84,108,268,348,0.77
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,Medium,,Short,,,Total,,
From,,TP,20,4,7,10,11,14,18,30,33,34,35,9,15,PC,PA,PC,PA,PC,PA,PC,PA,%,
Júlio César,20,96'57,,6,1,-,-,1,-,1,4,-,-,-,-,4,7,9,9,0,0,13,16,0.81,
Luisão,4,94'04,1,,2,-,3,14,5,1,7,-,6,-,-,4,7,30,32,5,5,39,44,0.89,
Andreas Samaris,7,84'12,1,2,,7,2,2,2,5,2,8,3,-,-,3,4,25,27,6,8,34,39,0.87,
Nicolás Gaitán,10,96'57,-,1,2,,1,-,-,5,-,2,1,-,-,0,5,9,14,3,10,12,29,0.41,
Lima,11,96'57,-,2,3,4,,4,-,3,1,1,2,1,-,1,2,14,16,6,6,21,24,0.88,
Maxi Pereira,14,96'57,2,6,-,-,2,,13,-,1,-,7,-,-,1,3,19,24,11,14,31,41,0.76,
Eduardo Salvio,18,96'57,-,3,2,1,1,4,,1,-,-,3,1,-,0,0,14,18,2,6,16,24,0.67,
Talisca,30,72'15,-,-,3,9,2,1,1,,-,4,1,-,-,3,3,10,14,8,10,21,27,0.78,
Jardel,33,96'57,3,8,7,1,2,-,3,2,,6,2,-,-,2,3,27,29,5,5,34,37,0.92,
André Almeida,34,96'57,-,2,4,12,1,1,-,4,4,,4,-,1,2,3,23,33,8,12,33,48,0.69,
Enzo Pérez,35,96'57,-,6,2,2,5,9,2,1,3,2,,-,-,2,3,22,25,8,9,32,37,0.86,
Derley,9,24'42,-,-,-,1,2,-,-,-,-,1,1,,-,0,0,3,3,2,4,5,7,0.71,
Ola John 15,,12'44,-,-,-,1,1,-,-,-,-,1,-,-,,0,0,1,1,2,2,3,3,1,
Total passes received:,,,7,36,26,38,22,36,26,23,22,25,30,2,1,22,40,206 245,,66,91,294,376,0.78,
,,,,,,,,,,,,,,,,,,,,,,,,10:53:33CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,27 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
