Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 16 September 2015,,,,,,,,,,,,,,,
Group E - Stadio Olimpico - Rome,,,,,,,,,,,,,,,
,AS Roma,,,,,,1 - 1,,,,,FC Barcelona,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Wojciech Szczęsny,25,"50'48""",,,,,,,,1,,,,
,Antonio Rüdiger,2,"96'20""",,,,,,,,,,,,
,Lucas Digne,3,"96'20""",,,,,,,1,,1,,,
,Radja Nainggolan,4,"96'20""",,1,,,,,3,,,1,,
,Edin Džeko,9,"96'20""",,1,,,,,,1,,,,
,Mohamed Salah,11,"96'20""",,,,,1,1,1,,1,,,
,Iago Falqué,14,"82'11""",,,,,1,,1,,1,,,
,Daniele De Rossi,16,"96'20""",,,,,,,1,,,,,
,Seydou Keita,20,"96'20""",,,,,,,1,2,,,,
,Alessandro Florenzi,24,"85'58""",1,1,,,1,,1,,,,,
,Kostas Manolas,44,"96'20""",,,,,,,1,,,,,
,Morgan De Sanctis,26,"45'32""",,,,,,,,,,,,
,Juan Manuel Iturbe,7,"14'10""",,,,,,,,,,,,
,Francesco Totti,10,,,,,,,,,,,,,
,Maicon,13,,,,,,,,,,,,,
,William Vainqueur,21,,,,,,,,,,,,,
,Gervinho,27,,,,,,,,,,,,,
,Vasilis Torosidis,35,"10'22""",,,,,,,1,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"96'20""",,,,,,,,,,,,1,Marc-André ter Stegen
,,"96'20""",,,,,,1,1,,,1,,3,Gerard Piqué
,,"62'12""",,,,,,,,2,,,,4,Ivan Rakitić
,,"96'20""",,,,,,,,1,,,,5,Sergio Busquets
,,"96'20""",,1,,,,,1,,,,,8,Andrés Iniesta
,,"96'20""",1,1,,,2,,3,3,3,,,9,Luis Suárez
,,"96'20""",,2,,1,4,2,,2,,,,10,Lionel Messi
,,"96'20""",,,,,,3,,2,,,,11,Neymar
,,"96'20""",,,,,,1,,,,,,18,Jordi Alba
,,"96'20""",,1,,,,,,,,,,20,Sergi Roberto
,,"96'20""",,,,,,,,,,,,24,Jérémy Mathieu
,,,,,,,,,,,,,,25,Jordi Masip
,,"3'48""",,,,,,,,1,,,,12,Rafinha
,,"30'20""",,,,,,,,,,,,14,Javier Mascherano
,,,,,,,,,,,,,,15,Marc Bartra
,,,,,,,,,,,,,,17,Munir El Haddadi
,,,,,,,,,,,,,,19,Sandro Ramírez
,,,,,,,,,,,,,,21,Adriano
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,00:58:10CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,17 Sep 2015
UEFA Media Information,,,,,,,,,,,,,,,
