Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 15 September 2015,,,,,,,,,,,,,,,
Group A - Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,4 - 0,,,,FC Shakhtar Donetsk,,,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Keylor Navas,1,"94'17""",,,,,,,,,,,,
,Raphaël Varane,2,"46'10""",,,,,1,,,,,,,
,Sergio Ramos,4,"59'49""",,,,,,,1,1,,,,
,Cristiano Ronaldo,7,"94'17""",3,3,,,3,4,2,2,1,,,
,Toni Kroos,8,"94'17""",,,,,1,,2,,,,,
,Karim Benzema,9,"94'17""",1,3,,,3,,2,1,,,,
,Gareth Bale,11,"30'26""",,1,,,,,,,,,,
,Marcelo,12,"94'17""",,1,,,1,,1,1,,,,
,Dani Carvajal,15,"94'17""",,,,,,,1,1,,,,
,Luka Modrić,19,"94'17""",,,,,1,,2,,,,,
,Isco,22,"94'17""",,,,,2,,2,2,,,,
,Kiko Casilla,13,,,,,,,,,,,,,
,Pepe,3,"48'06""",,,,,,,1,,,,,
,Nacho,6,"34'28""",,,,,,,1,,,,,
,Casemiro,14,,,,,,,,,,,,,
,Mateo Kovačić,16,"63'51""",,1,,,,,,,,,,
,Jesé,20,,,,,,,,,,,,,
,Denis Cheryshev,21,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"94'17""",,,,,,,,,,,,30,Andriy Pyatov
,,"94'17""",,,,,1,,3,,,1,,5,Olexandr Kucher
,,"51'07""",,,,,,,4,,,2,1,6,Taras Stepanenko
,,"94'17""",,,,,,,,2,,,,8,Fred
,,"75'08""",,,,,,,,1,,,,11,Marlos
,,"82'25""",,,,,1,,,,,,,21,Olexandr Gladkiy
,,"67'40""",,,,,,,,2,,,,28,Taison
,,"94'17""",,1,,,,,,1,1,,,29,Alex Teixeira
,,"94'17""",,,,,,,1,5,,1,,33,Darijo Srna
,,"94'17""",,,,,,,,1,,,,44,Yaroslav Rakitskiy
,,"94'17""",,,,,1,,1,1,1,,,66,Márcio Azevedo
,,,,,,,,,,,,,,32,Anton Kanibolotskiy
,,,,,,,,,,,,,,9,Dentinho
,,"11'52""",,,,,,,,,,,,10,Bernard
,,"26'37""",,,,,1,,1,,,1,,17,Maksym Malyshev
,,,,,,,,,,,,,,18,Ivan Ordets
,,,,,,,,,,,,,,22,Eduardo
,,"19'09""",,,,,,,,1,,,,74,Viktor Kovalenko
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,02:16:43CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,16 Sep 2015
UEFA Media Information,,,,,,,,,,,,,,,
