0.33	1.67	1.53
4	13	13.68
1	5	4.89
1.33	4.67	5.23
1.67	3.33	3.56
0	0	0.31
3	1	3.4
2.67	5	4.78
1	1.33	2.58
		
		
0 0 0
0 0 0		
120531	110172	108286
		
1.33	1.33	1.96
0	0	0.04
11	8.67	12.5
13.33	9.67	11.86
227	512.67	430.3
63.67	136.33	107.88
134.67	331.33	275.34
28.67	45	47.09
186.33	467.67	380.79
47.33	121.67	92.11
121	311.67	252.95
18	34.33	35.73
82%	91%	35%
74%	89%	34%
90%	94%	36%
63%	76%	30%
20.3/4.3	37.7/17.3	36.6/14.8
13.7/2.3	20/13.7	22.7/10.9
3.3/2.3	9.3/4	9.3/4.8
