1	0.67	1.47
13.67	11.67	13.6
5.33	4.33	4.89
5.33	5.33	5.28
3	2	3.44
0.33	0.33	0.32
4.67	6.33	3.46
6.33	4.33	4.88
3.33	2	2.55
		
		
0 0 0
0 0 0		
119271	113372	109095
		
4	3	2
0	0.33	0.06
14	11.67	12.65
16.33	10.33	11.99
377.33	400.67	428.25
95.33	85	108.65
234	268	272.22
48	47.67	47.39
327.67	356	378.03
79	73	92.66
211.33	248.67	249.63
37.33	34.33	35.75
87%	89%	29%
83%	86%	28%
90%	93%	30%
78%	72%	25%
31.3/19	27/8	36.2/15.2
16/14.3	17/7.3	22.2/11.3
8/4	6.3/4.3	9.3/4.8
